address,property_overview,price,property_url,purpose,property_description,num_bath_rooms,num_bed_rooms,area,cctv-security-amenity,parking-spaces-amenity,elevators-in-building-amenity,broadband-internet-amenity,maintenance-staff-amenity,building_type,building_nature,flooring-amenity,balcony-or-terrace-amenity,city,locality,address_1
"D,5,190,Bashundhara R.A,Dhaka,D,5,190,Bashundhara R.A,Dhaka,House 190 Road 5 BlockD",Not furnished,2200000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31039/family-house-tolet-from-april,Rent,Family House Tolet From April ,3,3,1250,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"D,5,190,D,5,190,House 190 Road 5 Blockd"
"Shakartek,02,26,Adabor,Dhaka,Shakartek,02,26,Adabor,Dhaka,Shekartek",A Roma will grow a set of pleasant habitats,300000,https://www.thetolet.com/en/dhaka/adabor/31038/bachelor-house-tolet-from-april,Rent,Bachelor House Tolet From April ,2,3,1400,Yes,1.0,Yes,Yes,,Apartment,Residential,Yes,Yes,Dhaka,Adabor,"Shakartek,02,26,Shakartek,02,26,Shekartek"
"5,8,5,Uttara,Dhaka,5,8,5,Uttara,Dhaka,Johora Market",,1100000,https://www.thetolet.com/en/dhaka/uttara/31037/bachelor-house-tolet-from-may,Rent,Bachelor House Tolet From May ,1,1,300,Yes,,Yes,Yes,,Apartment,Residential,Yes,Yes,Dhaka,Uttara,"5,8,5,5,8,5,Johora Market"
"Kuratoli,কুড়াতলি আদর্শ উচ্চ,N/A,Bashundhara R.A,Dhaka,Kuratoli,কুড়াতলি আদর্শ উচ্চ,N/A,Bashundhara R.A,Dhaka,N/A","#female_flat April/May , Rooms/Seats available , ▪️2 Minutes walking distance from #AIUB. , ▪️3rd floor,No lift. Male guest not allowed. Secure place., , Please read:, ?Single room 8500tk (Semi Furnished) , ?A huge big room seat 6000tk each for 2 people, ?A huge big master bed seat 6500tk each for 2 people , , All are including maid for cleaning, WiFi, Deep Fridge, Water filter, Service charge, dust bill,water bill etc, Only Gas-সরকারি (Card system) and Electricity excluded, , ▪️With/without food. , ▪️Furniture can be provided if you want.",600000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31036/hostel-seat-tolet-from-april,Rent,Hostel Seat Tolet From April ,2,3,3000,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Kuratoli,কুড়াতলি আদর্শ উচ্চ,N/A,Kuratoli,কুড়াতলি আদর্শ উচ্চ,N/A,N/A"
"25,25 dhaka housing,25,Shyamoli,Dhaka,25,25 dhaka housing,25,Shyamoli,Dhaka,25 Dhaka Housing","#Family For Rent, #To_Let #family , , #May, , For Rent From May 2nd Floor , , 3 Bedroom , Dining , 2 Bathroom , Kitchen , Separate Drawing Room , Room has Balcony , , Adequate Light and Airy . .South Facing House., Electricity Bill: Depends on you, Gas: Natural Titus Gas, , Doorman downstairs always, Security is very good, Rent: (Negotiable) Call to know., , Address: 25 Dhaka Housing Shyamoli, Mohammadpur. Just a short walk from Sapna Super Shop. , Mobile : 01521331321, 01552449762",2000000,https://www.thetolet.com/en/dhaka/shyamoli/31035/family-house-tolet-from-may,Rent,Family House Tolet From May ,2,3,850,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Shyamoli,"25,25 Dhaka Housing,25,25,25 Dhaka Housing,25,25 Dhaka Housing"
"South paikpara main,330,60 Feet Road,Dhaka,South paikpara main,330,60 Feet Road,Dhaka,৩৩০,দক্ষিণ পাইকপাড়া মেইন রোড (বাংলা কলেজ টু শেওড়াপাড়া রোড),মিরপুর-১,ঢাকা-১২১৬","FLAT RENT, , # Only For Family #, Flat rent will be given from 1st of next month (with car garage if required). (Family) , , ✅・・Location-330, Dakshin Paikpara Main Road (Bangla College to Sheorapara Road), Mirpur- 1,Dhaka-1216, (adjacent to the two-storey mosque. 5 minutes walking distance from Bangla College and 60 feet and 10 minutes walking distance from Kalyanpur bus stand) , ✅・・, Flat size : 1300 sft. 3 Beds, 3 Baths (2 high commodes and one low commode), 2 balconies, drawing dining, 4th floor, , ☑️facilities, ?lift, ?generator, ?geyzer line, ?AC line, ➡️electricity (separate meter) , ➡️Gas (Cylinder), ▪️Rent 17,000 Taka (Relaxable subject to negotiation), ▪️Service Charge 3,000 Taka, ▪Garage 2,000 Taka, Contact: 01756255433",1700000,https://www.thetolet.com/en/dhaka/60-feet-road/31034/family-house-tolet-from-april,Rent,Family House Tolet From April ,3,3,1300,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"South Paikpara Main,330,60 Feet Road,South Paikpara Main,330,60 Feet Road,৩৩০,দক্ষিণ পাইকপাড়া মেইন রোড (বাংলা কলেজ টু শেওড়াপাড়া রোড),মিরপুর-১,ঢাকা-১২১৬"
"Kalabagan,Dhaka,Kalabagan,Dhaka,Lake Circus,Kalabagan,Dhaka",,0,https://www.thetolet.com/en/dhaka/kalabagan/31032/family-house-tolet-from-june,Rent,Family House Tolet From June ,2,3,0,,,,,,Apartment,Residential,,Yes,Dhaka,Kalabagan,Lake Circus
"Abu Bakkar Madrasha,Rose Veally,60 Feet Road,Dhaka,Abu Bakkar Madrasha,Rose Veally,60 Feet Road,Dhaka,Mirpur 60 Feet",,1400000,https://www.thetolet.com/en/dhaka/60-feet-road/31033/family-house-tolet-from-june,Rent,Family House Tolet From June ,2,3,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"Abu Bakkar Madrasha,Rose Veally,60 Feet Road,Abu Bakkar Madrasha,Rose Veally,60 Feet Road,Mirpur 60 Feet"
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,JCX,Tower Bashundhara R/A,Dhaka","2 room (furnished) serviced apartment for rent at Bashundhara R/A. Short-term rental is offered with Kitchen, TV, Refrigerator, WiFi, Microwave Oven, A/C., , Amenities:, > WiFi, TV, > Swimming Pool, AC, Gym, > Theater & Security, > Laundry & Daily Cleaning Services, >Grocery Shop & Cabinet Kitchen, >Refrigerator & Microwave, , Contact Address:JCX Tower, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A",3600000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31031/family-house-tolet-from-april,Rent,Family House Tolet From April ,1,1,375,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Jcx,Tower Bashundhara R/A"
"Kathalbagan,Free School Street,16,Dhanmondi,Dhaka,Kathalbagan,Free School Street,16,Dhanmondi,Dhaka,16,Free School Street,Kathal Bagan","#Only_Girls #onlygirls , ? Rooms/seats for rent in girls flat in Kanthalbagan, Dhanmondi (Free School Street)., ?Fully tiled secure girls flat. , ?Gas+Water+Electricity+Fridge+WiFi+Guard all included., ?Second floor, cozy atmosphere., ✨5 thousand per seat in room for 2 people, 3.5 thousand per seat in dining (only one person will stay in the entire dining space) + Common bathroom, ?(Boy guest not aloud), , inbox if interested.",1000000,https://www.thetolet.com/en/dhaka/dhanmondi/31030/bachelor-house-tolet-from-april,Rent,Bachelor House Tolet From April ,1,1,0,,,,Yes,,Apartment,Residential,Yes,Yes,Dhaka,Kathalbagan,"Free School Street,16,Free School Street,16,16,Free School Street,Kathal Bagan"
