index,Title,Property ID,Area,Floor,num_bedrooms,num_bathrooms,Description,Location,Purpose,Garages,Building_nature,Air-Condition-amenity,Balcony-amenity,BBQ-area-amenity,CCTV-amenity,Driver-Room-amenity,Emergency-Exit-amenity,Fire-Exit-amenity,Fire-Hose-amenity,Guard-Room-amenity,Generator-amenity,Geyser-amenity,GYM-Room-amenity,Hot-Water-amenity,Intercom-amenity,Lift-amenity,Marble-Floors-amenity,Security-Guard-amenity,Single-Unit-amenity,Tiled-Floors-amenity,Commercial-Permission-amenity,Concealed-Phone-amenity,Fire-Place-amenity,Smoke-Detector-amenity,Community-Room-amenity,Garden-amenity,Landscape-Garden-amenity,Laundry-Room-amenity,Roof-Top-Garden-amenity,Washing-Machine-amenity,Wi-Fi-connectivity-amenity,Dual-Sinks-amenity,Swimming-Pool-amenity,Fire-Extinguisher-amenity,Floor-Type-amenity,Child-Playground-amenity,Central-Cooling-amenity,Central-Heating-amenity,Satelite-TV-amenity,Water-Sprinkler-amenity,Mosaic-amenity,Lawn-amenity,Home-Theater-amenity,Price
31,Office space for rent at Banani,11219,2500.0,3,3,3.0,"Office space for rent at Banani,
3rd floor, 2500 Sft, 3 bed, 3 baths, rent -90,000/= including service charge.",Banani,For Rent,1,Apartment for Office,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,90000.0
32,Exclusive Fully Furnished Apartment For Rent At North Gulshan- 1,11205,2200.0,4,3,4.0,"7- Storied Building, Exclusive Fully Furnished Apartment North Gulshan-1 4th Floor, 2200 sft, 3 Bed With Attach Bath, Very Nice Drawing & Dining Space, Nice Kitchen, Swimming pool, Cc/Camera Monitoring System, 24 Hours Security & Generator  Back Up.",Gulshan 1,For Rent,1,Full Furnished,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,,,,Yes,,,,,,,,Yes,Yes,Yes,,Yes,,,,,,,150000.0
33,26- Storied New Commercial Building For Rent in Banani,11179,7500.0,"12,18",4,4.0,"•	26- Storied New Commercial Building For Rent in Banani
•	Address: Kamal Ataturk Avenue, Banani.
•	12th floor,  Each 7500 Sqft
•	Available: 12th & 18th Floor
•	Generator: Full Back-Up, Cc/Camera monitoring system & 24/7
         Hours Security service.
•	Security Money: 6 Month
•	Advance Money: 6 Month",Banani,For Rent,1,Commercial Space,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,120.0
34,Exclusive Semi furnished Apartment For Rent At Gulshan -2,11171,2600.0,7,3,4.0,"Exclusive  Semi furnished Apartment For Rent At Gulshan -2
10- Storied Brand new Building, 2600 sft, 3 Bed With Attach Bath, 1 common Bath, Very Nice Drawing & Dining Space, Kitchen, Generator  Back-Up, Cc/Camera monitoring system & 24/7 Hours Security service.",Gulshan 2,For Rent,1,Residential Apartment,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,120000.0
35,𝐄𝐱𝐜𝐥𝐮𝐬𝐢𝐯𝐞 𝐅𝐮𝐥𝐥 𝐅𝐮𝐫𝐧𝐢𝐬𝐡𝐞𝐝 𝐀𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 𝐅𝐨𝐫 𝐑𝐞𝐧𝐭 At Banani,11160,2800.0,10 ,3,3.0,"𝐄𝐱𝐜𝐥𝐮𝐬𝐢𝐯𝐞 𝐅𝐮𝐥𝐥 𝐅𝐮𝐫𝐧𝐢𝐬𝐡𝐞𝐝 𝐀𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 𝐅𝐨𝐫 𝐑𝐞𝐧𝐭
2800 Sft, 3 Beds, 3 Bath, Excellent Drawing, Dining & Living Area, Roof Top Garden, Open Space Around Side Open, More Sunlight, 2 Car Parking, 2 Lift, Cc/Camera monitoring system & 24/7 Hours Security service.",Banani,For Rent,1,Full Furnished,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,130000.0
36,"𝐂𝐨𝐦𝐦𝐞𝐫𝐜𝐢𝐚𝐥 𝐒𝐩𝐚𝐜𝐞 𝐟𝐨𝐫 𝐫𝐞𝐧𝐭 At Gulshan Avenue, Dhaka.",11129,5010.0,G. ,3,3.0,"𝐂𝐨𝐦𝐦𝐞𝐫𝐜𝐢𝐚𝐥 𝐒𝐩𝐚𝐜𝐞 𝐟𝐨𝐫 𝐫𝐞𝐧𝐭 At Gulshan Avenue, Dhaka, Has Been Designed, Built And Was Awarded The First USGBC LEED GOLD STANDARD CERTIFIED Building In Bangladesh. LEED Is The Most Comprehensive And Difficult Certification And It Is Globally Recognized. LEED GOLD Certification Made Simpletree Anarkali The Most Admired Commercial Tower In The Rising Belt Of High-Rise Structures In Gulshan Avenue.
𝐅𝐥𝐨𝐨𝐫𝐬 𝐀𝐯𝐚𝐢𝐥𝐚𝐛𝐥𝐞: for tenancy 1st, 2nd
𝐋𝐞𝐚𝐬𝐞𝐝 𝐏𝐫𝐞𝐦𝐢𝐬𝐞𝐬
✔️1st Floor North Side 5010.50 Sft
✔️1st Floor South Side 5010.50 Sft
✔️2nd Floor North Side 5230 Sft
🏢 𝟑𝟏 𝐄𝐱𝐭𝐞𝐫𝐢𝐨𝐫 𝐆𝐥𝐚𝐬𝐬 And Curtain Wall Imported High-Quality Insulated Double-Glazed Low E Glass.
↘️ 𝐋𝐢𝐟𝐭 𝟑 𝐇𝐢𝐠𝐡 𝐒𝐩𝐞𝐞𝐝 (Capacity 16 Pax) Passenger Lifts (2.5 M/Sec)                               +1 High Speed (Capacity 18 Pox) Service Lift (1.75m/Sec)
✅ 𝟐𝟗 𝐂𝐂𝐓𝐕 Coverage Of All Key Locations In Common Areas Including Parking Basement Floors. 
🧯𝐅𝐢𝐫𝐞 𝐃𝐞𝐭𝐞𝐜𝐭𝐢𝐨𝐧: 30 Fire Detection And Protection Intelligent Fire Detection, Alarm, CO2 Sensors, Auto Sprinkler System And Gas Suppression System. Pressurized Fire Stair With Fire Hydrant System. Diesel Fire Pump At Basement.
🚔𝐏𝐚𝐫𝐤𝐢𝐧𝐠 𝐒𝐩𝐚𝐜𝐞: 6 no’s car parking spaces and 4 bicycle parking spaces on Basement floors for 3rd and 9th floors each full-floor inclusive in the rental cost. Basement 1 car parking spaces reserved only for visitors (On payment parking).",Gulshan 2,For Rent,1,Commercial Space,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,Yes,Yes,,Yes,,,,,,,540.0
37,Exclusive Semi Furnished Apartment For Rent At Gulshan -2,11125,2850.0,"2,4,6,8",3,4.0,"Exclusive Semi Furnished Apartment For Rent At Gulshan -2, Building, 2850sft, 3 Beds, Full Central AC, Swimming Pool, Gym, Children Play Ground, Stem & Sona, Tanis Court. 2 Car parking, full Generator backup, Cc/Camera monitoring system 24/7 Hours Security service.
Also Available (2nd, 4th, 6th & 8th Floor (4500sft)
4 Beds, 2 Car Parking.)",Gulshan 2,For Rent,1,Un furnished,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,275000.0
38,Excellent Full furnished Apt for Rent at Banani,11101,2250.0,3,3,4.0,"Excellent Full Furnished Apartment For Rent At Banani, 2250 Sft 3 Bed, 3 Bath, Servant room with bath, Excellent Drawing, Dining Space, 1 Car parking, Cc/camera monitoring system, 24/7 Hours security service.",Banani,For Rent,1,Full Furnished,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,100000.0
39,Luxurious new Aprt for Rent at Gulshan 2.,11088,4432.0,6,4,4.0,"Luxurious Two Semi furnished Brand new Apartment 4,432 sft, 3785 sft, 4 bed, 4 bath , Each floor 2 flat , 6th floor,  Drawing ,Dining, & living aria, 2 car parking ,full Generator backup, Swimming pool ,Gym, Playground, BBQ,  Cc camera,",Gulshan 2,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,250000.0
40,Royal Paradise Luxurious Semi furnished Apt at Gulshan -2,11067,5.0,"4,5,6,10",4,4.0,"Royal Paradise Luxurious Semi furnished Apartment.
for Rent at Gulshan -2 , 5,000 sqft, 4 bed ,full central Ac, Drawing ,Dining, & Living space, Swimming Pool , Gymnasium, with Sona & Steam, Gents & Womens Swimming pool ,Helipad, 2 Car parking, Full Generator Backup, Cc camera, 24/7 Security, and with more features.",Gulshan 2,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,4.0
41,Luxurious Lake View semi furnished Apt for Rent at Gulshan -2.,11049,3800.0,4,5,4.0,"Luxurious Lake View semi furnished Apartment Sqft, 3800, 4th floor, 5 beds, 4 bath, 2 parking. Excellent Drawing & Dining space. 3 month security deposit.",Gulshan 2,For Rent,1,Un furnished,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,120000.0
42,Luxurious Full furnished Apt for Rent at Gulshan -2,11036,3200.0,5 ,3,3.0,"Luxurious Full furnished Apartment . 3200sft, 5th floor, 3 beds with attach bath, Excellent Drawing , Dinning and living space , 2 car parking.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,150000.0
43,Office space Un furnished for rent at Banani,11022,3600.0,2,4,4.0,"Commercial Unfurnished office space at Banani, 3600 Sqft, 2nd floor, 2 car parking.",Banani,For Rent,1,Un furnished,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,360000.0
44,Brand new Luxurious semi furnished Apt for rent at Gulshan 1,11012,3500.0,"1,2,3,6 , 8",4,4.0,"Brand new Apartment Luxurious 3500 Sqft, 4 beds, 4 bath, balcony, Excellent Drawing and Dinning space, Swimming pool with Gym & children play ground, 2 car parking, 24 hours generator backup. cc, camera, 24/7 security service.",Gulshan 1,For Rent,1,Residential Apartment,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,200000.0
45,Good Spacious Apartment,10958,4000.0,5,4,4.0,"An exclusive Apartment on 5th floor with available 4000 sqft space. Comfortable Drawing, Dining & Family Living space. Luxurious 4 bed with attach bath & servant room, servant bath, balcony, 1 car parking security guard & generator back up.",Baridhara Diplomatic Zone,For Rent,1,Un furnished,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,Yes,,Yes,,,180000.0
46,Luxury un Furnished apartment,10946,3000.0,23 ,4,4.0,"An exclusive Brand New Apartment on 1st to 9th floor with available 3500 and 3000 sqft space. Comfortable Drawing, Dining & Family Living space. Luxurious 4 bed with attach bath & servant room, servant bath, balcony, 1 car parking security guard & generator back up.",Gulshan 1,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,250000.0
47,Classic Apartment,10807,2200.0,1,3,3.0,"An exclusive Classic apartment on 1st floor with available 2200 sqft space. Comfortable Drawing, Dining & Family Living space. Luxurious 3 bed with attach bath & servant room, car parking security guard & generator back up.",Banani,For Rent,1,Un furnished,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,55000.0
48,Classic full Furnished Apartment,10767,2300.0,4,3,3.0,"An exclusive full furnished apartment on 4th floor, 2300 sqft 3 bed with bath, drawing dining living space, Lift genereror & parking available.",,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,220000.0
49,Office for rent,10739,2200.0,,3,3.0,"Location : Banani north
2200 Sq.ft floor space, Available space 1st, 2nd, 3rd & 4th Floor, 3 room  Work Station Lift, Generator & 1 Car parking.",Banani,For Rent,1,Apartment for Office,,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,100000.0
50,Bright Office space at Banani,10723,2150.0,3,3,3.0,"Six storied building 2150 sqft 3rd floor lift and power back up,",Banani,For Rent,1,Apartment for Office,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,Yes,,,75000.0
51,Exclusive office Space at Banani north,10717,2200.0,3,3,3.0,10 storied building 3 bed with 3 bath large work station lift Generetor & car parking.,Banani,For Rent,1,Apartment for Office,,Yes,,Yes,Yes,,Yes,,,,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,,85000.0
52,Luxurious commercial space for rent,10542,6000.0,12,4,3.0,"13 -Storied exclusive office complex, Full Commercial Building 6000 sft,
6th floor Available, Two Lifts, Generator: Full Back Up.
Each Floor: 4 Car Parking. Prime Location Gulshan Avenue",Gulshan 2,For Rent,1,Commercial Space,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,200.0
53,Bright commercial space,10538,4500.0,1,3,3.0,"Brand new 18 -Storied exclusive office complex, Full Commercial Building 1850 sft, 17th ,14th , 10th, 5th floor Available , open space only 17th Floor , Another Floor 3 Office Rooms , Work Station Space , Bath room , Conference Space, Two Lift, One Car Parking.
Prime Location Banani",Banani,For Rent,2,Commercial Space,,Yes,,,Yes,,Yes,,,,,,,Yes,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,
54,Commercial Space For rent,10536,6500.0,8,4,3.0,"Exclusive commercial Space 6700 sq ft, 3rd floor fully open space lift & 100% power back up.",Gulshan 1,For Rent,2,Commercial Space,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,
55,Commercial Space For rent,10450,2500.0,8,3,3.0,"An exclusive office space on 5th floor with available 2500 sqft. Fully open space, Renovated Kitchen with wood Cabinet, Car parking, Lift & Generator full back up.",Banani,For Rent,1,Commercial Space,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,250000.0
56,Bright semi Furnished apartment,10445,2700.0,4,3,3.0,"Spacious and fabulous home in prime location. An exclusive apartment on 4th floor with available 2700 sqft space 3 bed, 3 bath home has impact resistant windows. Comfortable Drawing, Dining, Sarvent, Kitchen, Family Living. 1 Car Parking, Lift & Generator back up.",Banani,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,100000.0
57,Large Apartment for rent,10403,3000.0,3,3,3.0,"Spacious and fabulous home in Gulshan, An Exclusive apartment on 3rd floor with available 3000 sqft space.  3 bed, 3 bath home has impact resistant windows. Comfortable Drawing, Dining, Family Living. 1 Car Parking, Lift & Generator back up.",Gulshan 2,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,100000.0
58,Bright Furnished apartment,10402,1400.0,4,3,3.0,"An exclusive spacious apartment on 4th floor with available 1400 sqft Comfortable Drawing, Dining & Family Living space. Luxurious 3 bed with attach 2 bath & 1 Common bath, balcony, 1 car parking. 24 hours security & full generator back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,60000.0
59,Short term Furnished apartmet for rent,10401,2550.0,2,3,3.0,"An Exclusive Full furnished apartment on 2nd floor with available 2550 sqft space. 3 bed, 2 bath & 1 common bath room. Drawing, Dining, LIving and Kitchen, 1 parking, Generator back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,100000.0
60,Small Furnished apartment,10399,1850.0,3,3,3.0,"Luxurious full furnished apartment on 3rd floor with available 2300 sqft sqft space. 3 bed with attach bath, 1 parking, Comfortable Drawing, Dining, Sarvent room,Lift, Genaretor buckup.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,70000.0
61,Large Furnished Apartment,10398,3600.0,1,4,4.0,"Luxurious full furnished apartment on 1st floor with available 3600 sqft space. 4 bed with attach bath, parking, Comfortable Drawing, Dining, Sarvent room, Lift, Genaretor back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,150000.0
62,Brand new apartment,10397,2000.0,"6 , 8",3,3.0,"Location : Banani North
Approx 2000 sft  6th & 8th Floor  3 Bed, 2 Attached Bath 1 Common Bath, Drawing, Dining Living Room , 3 Balcony Tiled Floor, Gym, 2 lift, generetor back up & parking available.",Banani,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,90000.0
63,Bright furnished apartment,10396,2340.0,9,3,3.0,"An exclusive spacious full furnished apartment in Banani north It is high security area. This apartment available on 9th floor with available 2340 sqft space. Luxurious bed, bath & Sarvent room. Comfortable Drawing, Dining, Family Living, 1 Car Parking, Lift Generator back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,90000.0
64,Fully furnished apartment for Rent,10395,1760.0,2,3,3.0,"Six storied building full furnished apartment on 2nd floor with available 1760 sqft space. 3 bed with attach bath,  Comfortable Drawing, Dining, Sarvent room, Lift & Genaretor back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,75000.0
65,Two Bed Apartment,10394,1460.0,5,3,3.0,"Very good apartment Location in Banani north , An exclusive apartment on 5th floor with available 1460 sqft space. 2 bed, 2 bath, balcony, car parking. Drawing, Dining, Sarvent, Lift & Genaretor back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,45000.0
66,Exclusive semi furnished apartment,10393,2800.0,8,3,3.0,"An excellent south faching gorgeous semi furnished apartment on 8th floor with available 2800 sqft space. Luxurious 3 bed, 4 bath, Drawing, Dining, 5 Air condition Sarvent room ,Servent quarter Lift & Generator back up.",Banani,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,110000.0
67,Exclusive Four bed Apartment,10392,2890.0,5,3,3.0,"An exclusive apartment on 5th floor of 11 storied building. 4 bed with attach 3 bath, 2890 sft space. Luxurious Drawing, Dinning, Kitchen, Servant Room with attach bathroom. Two car Parking, Lift, full Generator back up , all facilities are available.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,2890.0
68,Largely furnished apartment,10391,7500.0,2,4,5.0,"An exclusive full Furnished apartment on 2nd floor with available 7500 sft space. Luxurious 4 bed with attach bath, 1 common bath room. Comfortable Drawing, Dining, Family Living & sarvent room. Roof top swimming pool, 2 parking, Lift & full Generator back up.",Baridhara Diplomatic Zone,For Rent,2,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,550000.0
69,Brand new apartment,10390,1800.0,,3,3.0,"An exclusive fabulous apartment on 4th floor with available 1800 sft space. 3 bed, 4 bath, 2 parking, 2 balcony. Drawing, Dining, Family Living, Lift, Genaretor back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,90000.0
70,Good Apartment for rent,10384,2200.0,3,3,3.0,Exclusive 3 bed apartment at banani north 2200 sqft 3 bed with large drawing dining living space 2 lift & 100% power back up.,Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,50000.0
71,Bright apartment for rent,10383,2200.0,4,3,3.0,"Spacious and fabulous home in prime location. An Exclusive apartment on 8th floor with available 2200 sqft space. 3 bed, 3 bath home has impact resistant windows. Comfortable Drawing, Dining, Sarvent, Kitchen, Family Living. Car Parking, Lift & Generator back up.",,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,65000.0
72,Fully Furnished Apartment At Gulshan,10382,2200.0,2,3,3.0,"An Exclusive Full Furnished apartment on 2nd floor with available 2200 sqft space. 3 bed, 2 bath & 1 common bath room. Drawing, Dining, LIving and Kitchen, 1 parking, Generator back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,90000.0
73,Exclusive Brand New Apartment,10377,2500.0,4,3,3.0,"Spacious and fabulous home in prime location. An exclusive apartment on 4th, 5th & 6th floor with available 2500 sqft space. 3 bed, 3 bath home has impact resistant windows. Comfortable Drawing, Dining, Sarvent, Kitchen, Family Living. 1 Car Parking, Lift &  Generator back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,Yes,,120000.0
74,Four Bed Fully furnished apartment,10375,2575.0,1,4,4.0,"Ten storied Building Luxurious Four bed full furnished apartment on 2nd floor with available 2575 sqft space Comfortable Drawing, Dining, Living space Lift & Genaretor back up.",Banani,For Rent,2,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,110000.0
75,Four Bed Fully furnished apartment,10374,2575.0,1,4,4.0,"Luxurious Four bed full furnished apartment on 2nd floor with available 2575 sqft space Comfortable Drawing, Dining, Living space Lift & Genaretor back up.",Banani,For Rent,2,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,110000.0
76,Bright office space For rent,10373,2300.0,1,3,3.0,"Four storied building 2300 sqft Each floor 3 room, work station, confereence room, No lift and no parking available.",Banani,For Rent,1,Apartment for Office,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,80000.0
77,Exclusive furnished apartment,10372,2200.0,1,3,3.0,"Location : Banani North
2200 sft Space 1st Floor Exclusive interior Apartment , 3 Bed, 3 Bathroom 1 Common Bath, Drawing, Dining Living Room , 3 Balcony Tiled Floor  lift generetor back up
& 1 car parking available.",Banani,For Rent,1,Full Furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,85000.0
78,Brand new Apartment at Banani,10371,2600.0,3,3,3.0,"An exclusive spacious apartment on 3rd floor with available 2600 sqft space. Comfortable Drawing, Dining & Family Living space. Luxuriouse 3 bed with attach bath & servent room, servent bath, balcony, 1 car parking security guard & 24 hours generator back up.",Banani,For Rent,1,Residential Apartment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,85000.0
