area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_description,property_overview,property_url,purpose,city,locality,address,maintenance-staff-amenity,security-staff-amenity,facilities-for-disabled-amenity
,Apartment,NA,1.0,1.0,31000.0,"Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C,Facilities Available,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,YouTube,
1. https://www.hotels.com.bd/rental/residential-one-bedroom-furnished-apartments-for-rent-in-dhaka/,
2. https://www.youtube.com/watch?v=xB_m6tVSiok,Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,CCTV Security",https://www.toleter.com/property/bd1683/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
,Apartment,NA,1.0,1.0,36000.0,"Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,CCTV Security",https://www.toleter.com/property/bd1635/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1650/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
,Apartment,NA,2.0,2.0,9000.0,"A whole new building in the Dewanpara intersection of Rajshahi-Dhaka highway is the modern fittings of the entire new building,
School, mosque, madrasa, market, public transport is very close","Floors: 3,Parking Spaces,Beautiful View,Balcony,CCTV Security",https://www.toleter.com/property/bd1639/,Rent,Dhaka,,"Dewanpara More,",NA,NA,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1640/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1637/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,Website:  https://www.hotels.com.bd/rental/2-bedroom-furnished,
YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security",https://www.toleter.com/property/bd1645/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/2-bedroom-furnished,
YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 800 Sq. Meter,Floors: 7,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1652/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security",https://www.toleter.com/property/bd1656/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street, , .",yes,yes,NA
,Apartment,NA,1.0,1.0,31000.0,"1 Bedroom Furnished Serviced Apartments for Rent in Dhaka.,
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,Facilities Available,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
YouTube,
1. https://www.hotels.com.bd/rental/residential-one-bedroom-furnished-apartments-for-rent-in-dhaka/,
2. https://www.youtube.com/watch?v=xB_m6tVSiok,Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,CCTV Security",https://www.toleter.com/property/bd1672/,Rent,Dhaka,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,NA,NA
