details,fire-exit-amenity,electricity-backup-amenity,gym-amenity,elevators-in-building-amenity,flooring-amenity,parking-spaces-amenity,price,building_nature,property_id,area,building_type,purpose,lawn-or-garden-amenity,swimming-pool-amenity,title,total_bathrooms,district,city,address,country
"Flat sale
Ready Flat 1000 / 1200 / 1400 Square Feet Flats for Sale in Mirpur 60 Feet Road Chetona Tower
(11 Floor Building)
Contact :- 01715029057 / 01764556295",,,,,5,,1.0,Residential,864,1200,Apartment,Sale,,,Ready Flat 1000 / 1200 / 1400 Square Feet Flats for Sale,3,Mirpur, Dhaka, Mirpur 60 fit road.,Bangladesh
"Gulshan avenue is the most expensive and sought-after commercial area in the heart of the capital city in Bangladesh. We are offering you a 2,500 sft floor on 5th floor of the most prestigious building in this area for rent at an affordable price. This building combines all modern amenities to run  a business establishment smoothly. There are two dedicated car parking in the basement, 100% backup generator CCTV surveillance with trained security guard to ensure 24/7 security. Please contact us today to schedule a viewing.",Yes,,,Yes,5,2 ,160.0,Commercial,875,2500,Office Space,Rent,Yes,,2500 sft office space for rent in Gulshan Avenue,,Gulshan Avenue, Dhaka,Gulshan Avenue,Bangladesh
"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842",Yes,Full Backup,,Yes,4,1 ,36000.0,Residential,821,375,Service Apartment,Rent,,,Two Room Furnished Serviced Apartment RENT in Bashundhara R/A,1,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"Fully furnished 7000 sft office available for rent on the Gulshan Avenue.  As you step inside the office space, you will be greeted by a modern and well-designed interior, complete with tasteful furnishings and décor. The office boasts ample natural light and is equipped with air conditioning to ensure a comfortable work environment for you and your team. This office is fully equipped with state-of-the-art facilities to meet your business needs. With a fire-fighting system in place, you can be assured that your safety and building also provides 24/7 security and surveillance. Additionally, you will have access to a 100% backup generator, ensuring that you never lose power during important work hours. With modern amenities, a fire-fighting system, 4 car parking spaces, and 100% backup generator facilities, you can focus on growing your business with ease.",Yes,Full Backup,,Yes,7,4 ,1050000.0,Commercial,815,7000,Office,Rent,Yes,,"Ready Fully furnished 7,000 sft office for rent in Gulshan Avenue",,Gulshan Avenue, Dhaka,Gulshan Avenue,Bangladesh
open space,,Full Backup,,,1,2 ,500000.0,Commercial,856,9000,Factory Shade,Rent,,,Office space for rent,10,Motijheel, Dhaka, Dhaka,Bangladesh
"A fantastic opportunity has arisen to rent a stunning 25,000 sq. ft. commercial single floor located in the highly sought-after Uttara area of Dhaka. The building is constructed with 100% compliance to building regulations and offers a modern and professional setting suitable for corporate or multinational offices. The floor plan is designed to optimize the usage of space and offers ample natural light, providing a bright and airy environment for employees. The premises include 8 designated car parking spaces, ensuring easy and convenient access for staff and clients. With a prime location in Uttara, this commercial space is ideally situated for businesses looking to establish themselves in one of the city's most desirable areas. Don't miss out on this exceptional opportunity to secure a spacious, contemporary office space in a highly sought-after location.",Yes,Full Backup,Yes,Yes,,,4000000.0,Commercial,844,25000,Office Space,Rent,Yes,Yes,"Spacious 25,000 Sq. Ft. Commercial Single Floor for Rent in Uttara with 8 Car Parking - Ideal for Corporate or MNC Offices",10,Uttara, Dhaka,Uttara Sector # 1,Bangladesh
"This is a unique opportunity to lease a 4600 sqft floor in the highly sought-after  IK Tower, located in the heart of Dhaka's bustling commercial district. The building is known for its state-of-the-art facilities and compliance with international standards, making it an ideal location for businesses looking to establish a professional and efficient office space. The floor features modern amenities, including high-speed elevators, 24/7 security, 100% backup generators, and 3 ample parking space. With its prime location and world-class facilities, this space is perfect for businesses of all sizes looking to elevate their operations in Dhaka. Don't miss out on this exceptional opportunity to lease a premium office space in one of the city's most prestigious buildings.",Yes,Full Backup,,Yes,3,,160.0,Commercial,822,4600,Office,Rent,Yes,,Spacious 4600 sqft Floor for Rent in Gulshan Avenue - The Most Compliant Office Building in Dhaka,4,Gulshan, Dhaka,Gulshan Avenue,Bangladesh
"Furnished 2BHK Serviced Apartment RENT In Bashundhara
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.hotels.com.bd/rental/apartment-two-bedroom
2. https://www.youtube.com/watch?v=xB_m6tVSiok

.
Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,Yes,Yes,4,1 ,48000.0,Residential,843,800,Apartment,Rent,Yes,Yes,Furnished 2BHK Serviced Apartment RENT In Bashundhara,2,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"This stunning semi-furnished flat is located on the 3rd floor of a prestigious building in Baridhara Diplomatic Zone, one of the most sought-after residential areas in Dhaka. The flat boasts a spacious 3000 sqft of living space, featuring 4 large bedrooms, 4 modern bathrooms, a well-appointed kitchen, and an expansive living and dining area. The flat is beautifully designed with high-quality finishes, elegant lighting fixtures, and marble flooring. The bedrooms are spacious and comfortable, each featuring large windows that let in natural light and offer stunning views of the surrounding area. The building offers a range of top-notch amenities, including 24-hour security, elevator access, and dedicated parking space etc.",Yes,Full Backup,,Yes,3,2 ,170000.0,Residential,827,3200,Apartment,Rent,Yes,,Luxurious 3000 sqft Semi-Furnished Flat for Rent in the Heart of Baridhara Diplomatic Zone,4,Baridhara, Dhaka,Baridhara Diplomatic Zone,Bangladesh
"Restaurant to be Rented (Rooftop)
Mirpur 60 feet, 11th floor rooftop restaurant located on main road for rent in a pleasant environment Location: Chetona Tower Building,
60 Feet Road
(4000 Square Feet)
Contact :- 01715029057 / 01764556295",,,,,,,1.0,Commercial,865,4000,Commercial Plot,Rent,,,Restaurant to be Rented (Rooftop) 4000 Sqft,,Mirpur, Dhaka, Mirpur 60 fit road.,Bangladesh
