address,amenities,available_from,balconies,bathroom,bedroom,construction_status,deposit,description,facilities_nearby,facing,floor_number,furnishing,garages,handover_date,land_area,location,monthly_rent,price_per_sqft_or_katha_or_dcml,property_for,property_name,property_size,property_type,property_url,title,total_floor,total_price,transaction_type
"274/4, CHETONA TOWER, 60 FIT ROAD.",Lift,,,1,, ready ,,"
                        COMMERCIAL SPACE SALE
                    ",Security,South Facing,,Furnishing,N\A,"10 April, 2023",,"Mirpur, Dhaka",,0.00 tk (Negotiable),Sale,CHETONA TOWER,"1,400 sqft",Office Space,https://www.propertysalebd.com/listings/chetona-tower-1,"1,400 sqft Office Space for Sale at Mirpur",1,0.00 tk (Negotiable),new
215/5/2 East Rampura (Beside Banasree B Block Eastern Housing) Dhaka- 1219,"Lift,Self Water Connection,Gas Connection,Generator,CCTV,Electronic Security",,0,3,3, under-construction ,,"
                        Binimoy Nibash, Project of Binimoy Properties Ltd
Land Area: 8.46 KathaType: South Facing 10 Storied Residential Apartment Building with BasementProject
Address: 215/5/2 East Rampura (Beside Banasree B Block Eastern Housing) Dhaka- 1219
Apartment Size: Type A, B & C
Type A= 1600 sft (3 BED,4 VER, 3 TOILET, DRAWING,DINING,KITCHEN)
Type B= 1275 sft (3 BED, 3 VER, 3 TOILET, DRAWING,DINING,KITCHEN)
Type C= 1395 sft (3 BED, 2 VER, 3 TOILET, DRAWING,DINING,KITCHEN)
YOU GET STANDARD COMMUNITY.* FACILITIES INCLUDING: LIFT, GENERATOR, CC CAMERA, INTERCOM, CONFERENCE ROOM, PARKING+ BASEMENT PARKING & ALL OTHER COMMON FACILITIES.* ALL LEGAL PAPERS IS OK***.…….THANKYOU FOR YOUR INTEREST ON US
Call Now: 01742610382
                    ","Security,Wasa Connection,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,Furnishing,1 Park,"30 July, 2023",8.46,"Banashree, Dhaka",,Call For Price,Sale,Binimoy Properties Ltd,"1,395 katha",Flat / Apartment,https://www.propertysalebd.com/listings/binimoy-properties-ltd,"1,395 katha Flat / Apartment for Sale at Banashree",9,Call For Price,new
"52/Holan Road, Bidurpara, Daskhinkhan, Uttara, Dhaka-1230","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,2,3,2, ready ,,"
                        আসসালামুআলাইকুম।

আপনি কি ঢাকা শহরের সেরা লোকেশনে প্রাকৃতিক ও মনোরম পরিবেশে নান্দনিক ও আধুনিক সুযোগ সুবিধা সম্পূর্ণ ফ্ল্যাট খুজছেন! 

পবিত্র ঈদ উল ফিতর উপলক্ষে বিশেষ ছাড়ে- দক্ষিণখানে 1060 স্কয়ার ফিটের আধুনিক মানসম্পন্ন ফ্ল্যাট বিক্রয় করা হবে।

ঠিকানা: 52/হলান রোড, বিদুরপাড়া, দক্ষিণখান, উত্তরা, ঢাকা-1230। ঢাকা এয়ারপোর্ট থেকে মাত্র 15 মিনিটের দুরুত্ব। 

বৈশিষ্ট্য: 

১। সর্বোত্তম মানের নির্মাণ উপকরণ নিশ্চিত করন।

২। আন্তরজাতিক মান সম্পন্ন লিফ্ট।

৩। 24/7 নিজস্ব জেনারেটর ব্যবস্থা।

৪। গ্রাউন্ড ফ্লোরে পার্কিং এর ব্যবস্থা। 

৫। তিতাস গ্যাস, পানির পাম্প, জেনারেটর, সাব-ষ্টেশন এবং সার্বক্ষনিক 

    নিরাপত্তার ব্যবস্থা।

৫।  সমস্ত ইউটিলিটি সংযোগ নিশ্চিত করন।

এপার্টমেন্টের বিবরণ:

 ৮ তলা বিশিষ্ট ভবনের প্রতি ফ্লোরে ৪ টি করে ইউনিট, মোট ২৮ টি ইউনিট  রয়েছে। ফ্ল্যাটের সাইজ: 1060 স্কয়ার ফিট। প্রতি ইউনিটে আছে ২ টি বেডরুম, ৩ টি বাথরুম, ২ টি বারান্দা,  ড্রইং রুম, ডাইনিং স্পেস এবং একটি কিচেন। 

দিনের বেলায় পর্যাপ্ত পরিমানে আলো থাকে। তাই লাইটের প্রয়োজন হয় না।

অন্যান্য:

মসজিদ, হাসপাতাল, স্কুল-কলেজ, মাদ্রাসা, কাঁচা-বাজার, মার্কেট, ডেসকো অফিস খুব কাছাকাছি। 

প্রজেক্ট টি সরাসরি ভিজিট করার অনুরোধ রইল। আগ্রহীক্রেতাগন যোগাযোগ করুন ।

ধন্যবাদ
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Shopping Mall",East Facing,3,Furnished,1 Park,"01 June, 2023",8.5,"Daskhinkhan, Dhaka",,Call For Price,Sale,Solaiman Bhuiyan Complex,"1,060 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/solaiman-bhuiyan-complex,"1,060 sqft Flat / Apartment for Sale at Daskhinkhan",7,Call For Price,new
Bashundara A block,"Gas Connection,Telephone line",,,,,  ,,"
                        বসুন্ধরা আবাসিক এলাকায় এ ব্লকে ০৯ কাঠা জমি বিক্রয় হবে। শুধুমাত্র প্রকৃত ক্রেতাগণ যোগাযোগ করুন, 
 আধুনিক সমস্ত সুযোগ-সুবিধার মাঝেই সমমনা মানুষের সাথেই গড়ে উঠুক আপনার স্বপ্নের বাড়ি।
                    ","Security,Wasa Connection,Electricity,Wifi Connectivity,Cable TV,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",East Facing,,,,"May 31, 2023",,"Bashundhara RA, Dhaka",,Call For Price,Sale,বসুন্ধরা আবাসিক এলাকায় এ ব্লকে ০৯ কাঠা জমি,9 katha,Residential Land,https://www.propertysalebd.com/listings/-22,9 katha Residential Land for Sale at Bashundhara RA,,Call For Price,
"Road;5, Baitul Aman housing society.","Lift,Gas Connection,Generator,Telephone line,CCTV",,3,3,3, ready ,,"
                        Ready flat up for sale on a new building, The flat is front facing. 
Flat's tiles and other amenities are Italian and imported.
                    ","Security,Wifi Connectivity,Cable TV,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",North Facing,5,Semi Furnished,1 Park,"01 May, 2023",10,"Adabor, Dhaka",,"8,500.00 tk (Negotiable)",Sale,Nahar dreams,"1,460 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/nahar-dreams,"1,460 sqft Flat / Apartment for Sale at Adabor",10,0.00 tk (Negotiable),new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Security Alarm System,Servent Room",,,1,, ready ,,"
                        With a virtual office, you will reduce expenses while still enjoying the benefits of a business office. Businesses can get a registered business address, mailing location and office-related  services from a virtual office without the expense of a long rental. Employees can work virtually with a virtual office while still having access to amenities like mail, phone responding services, meeting spaces, and conferencing.
.
Benefits
> Mail Receiving & Forwarding
> No Hassle of Setting Up Office
> Paying Only For What You Need
> Get A Registered Business Address
> Call Handling & Telephone Answering
> Reduce Expenses, Workspace Service
> Teleconferencing & Videoconferencing
.
Please See more:  https://www.ecommerce.com.bd/virtual-office/
.
Contact For Booking
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Inter com,Wifi Connectivity,Guest Parking",South Facing,,Furnished,N\A,"04 December, 2022",,"Bashundhara RA, Dhaka",,Call For Price,Sale,Virtual Office Rent In Dhaka,"1,700 sqft",Office Space,https://www.propertysalebd.com/listings/virtual-office-rent-in-dhaka-2,"1,700 sqft Office Space for Sale at Bashundhara RA",1,Call For Price,new
"274/4, CHETONA TOWER, 60 FIT ROAD.",Lift,,0,2,2, ready ,,"
                        FLAT SALE
                    ",Security,South Facing,5,Furnishing,N\A,"01 May, 2023",,"Mirpur, Dhaka",,0.00 tk,Sale,CHETONA TOWER,"1,000 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/chetona-tower-2,"1,000 sqft Flat / Apartment for Sale at Mirpur",1,0.00 tk,new
Rupayan City Uttara,"Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security",,3,4,3, ready ,,"
                        It is an international gated community type Luxury Condo with ZYM , Community Center, Swimming Pool, Playground, walking truck, guest lounge, Community Club, Games zone, Mosque, School, Corner Shop. This is a very private area and  no outside is allowed to this  premises. Very cool & calm place with beautiful environment.
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,ATM,School,Bus Station,Shopping Mall",South Facing,4,Unfurnished,1 Park,"31 December, 2022",2170,"Uttara West, Dhaka",,0.00 tk (Negotiable),Sale,International Gated community,"2,170 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/international-gated-community,"2,170 sqft Flat / Apartment for Sale at Uttara West",9,0.00 tk (Negotiable),new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Electronic Security,Servent Room",,0,2,2, ready ,,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube: https://www.youtube.com/watch?v=qVIoVfPGFmA
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity,Guest Parking,Bus Station",South Facing,6,Furnished,1 Park,"15 December, 2022",800,"Bashundhara RA, Dhaka",,Call For Price,Sale,Furnished Two BHK Serviced Apartment RENT.,800 sqft,Flat / Apartment,https://www.propertysalebd.com/listings/furnished-two-bhk-serviced-apartment-rent,800 sqft Flat / Apartment for Sale at Bashundhara RA,7,Call For Price,new
"Mausaid, Moinartek, Uttarkhan, Dhaka-1230","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,,,, under-construction ,,"
                        “উত্তরখান মডেল টাউন” রাজউক নিবন্ধিত একটি আবাসন প্রকল্প
রাজধানীর উত্তরা মডেল টাউন থেকে মাত্র ৪.৫ কিলোমিটার দূরত্বে ৩ টি প্রস্তাবিত  সড়ক সংলগ্ন “উত্তরখান মডেল টাউন”। 
প্রকল্পের বিবরণ:
শতভাগ নিষ্কন্ঠক জমি।
রাজউক প্রণীত মাস্টারপ্ল্যান অনুযায়ী আরবান রেসিডেন্সিয়াল জোনের অন্তর্গত ।
ঢাকা উত্তর সিটি কর্পোরেশন এর ৪৬ নং ওয়ার্ডের আওতাধীন। 
রাজউক নিবন্ধনকৃত প্রকল্পে সম্পূর্ণ ঝামেলা মুক্ত জমি যা নিজেই যাচাই করে নিতে পারবেন।
নাগরিক সকল সুযোগ সুবিধা সম্বলিত প্রকল্প।
এককালিন মূল্য পরিশোধে সাথে সাথে রেজিস্ট্রেশন, থাকছে সহজ কিস্তিতে প্লট কেনার সুবিধা।
আবাসিক এবং বানিজ্যিক উভয় প্লট থাকায় আপনি বসবাস এবং বিনিয়োগ দুটো'ই করতে পারবেন।
প্রস্তাবিত ১টি ৩০০ ফুট প্রশস্ত আব্দুল্লাহপুর - ডেমরা ইস্টার্ন বাইপাস সড়ক
প্রস্তাবিত ১টি ২০০ ফুট প্রশস্ত গাজীপুর - নারায়নগঞ্জ এক্সপ্রেক্স সড়ক
১টি ১২০ ফুট প্রশস্ত ও ১টি ৬০ ফুট প্রশস্ত সংযোগ সড়ক সমূহ
জমির মূল্য নির্ধারণ করা হয়েছে প্রচলিত বাজার মূল্যে যা আলোচনা সাপেক্ষ্যে।
নিজস্ব পরিবহনে প্রকল্প পরিদর্শনের ব্যবস্থা আছে।
বিস্তারিত জানতে ও প্রকল্প পরিদর্শন করতে আমাদের সাথে যোগাযোগ করুন: 
মোবাইলঃ 01758-668899, 01614-269200
ওয়েবসাইটঃ www.ukmtbd.com
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,,,"December 01, 2022",,"Uttarkhan, Dhaka",,Call For Price,Sale,Uttarkhan Model Town,3 katha,Residential Land,https://www.propertysalebd.com/listings/uttarkhan-model-town,3 katha Residential Land for Sale at Uttarkhan,,Call For Price,
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2,2, ready ,,"
                        Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.banglamart.com/co-living/studio-aptt-rentals/
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank",South Facing,6,Furnished,1 Park,"01 December, 2022",875,"Bashundhara RA, Dhaka",,Call For Price,Sale,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,875 sqft,Flat / Apartment,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-8,875 sqft Flat / Apartment for Sale at Bashundhara RA,7,Call For Price,new
"burir bazar , savar epz ,baipail ashulia dhaka","Mosque/Prayer Room,Gas Connection,Electronic Security",,5+,5+,5+, ready ,,"
                        jomi bikroy hobe bari soho Commercial area
jomir proiman 5.5 sotangsho 
purata jomir moddhe bari kora 
bari 2 tola projontto complete 
1 tolate 1 ta dokan ase 2 ta flat ase small size
2nd floor 1 ta boro flat 1ta medium size flat 1 ta small size flat
total 2000-2200 SQ Feet size per floor 
6 tola foundation 

oti joruri bikroy hoibe taka proyojon
aro janar jonno call othoba samna samni eshe dekhe jan
                    ","Electricity,Guest Parking,Hospital,Bank,ATM,School,Bus Station",East Facing,,Furnished,2 Park,"01 January, 2023",1349,"Savar, Dhaka",,0.00 tk (Negotiable),Sale,land sell with 2nd floor complete building savar epz,"2,200 sqft",Independent House,https://www.propertysalebd.com/listings/land-sell-with-2nd-floor-complete-building-savar-epz,"2,200 sqft Independent House for Sale at Savar",2,"28,000,000.00 tk (Negotiable)",new
