Location,num_bath_rooms,num_bed_rooms,area,property_description,building_type,property_type,price,AD URL,City,Area,Address,Cable TV-amenity,Microwave-amenity,Grill-amenity,Pool-amenity,Dishwasher-amenity,null-amenity,Air conditioning-amenity,Computer-amenity,Parking-amenity,Internet-amenity,Heating-amenity,Balcony-amenity,Lift-amenity
 Dhaka ,3.0,3.0,1237.0,PROJECT DETAILSNAME: ONWARD ARAFATFACING: EAST (FRONT SIDE 30 FEET ROAD)HEIGHT: G+9UNIT: 3 UNITS PER FLOORPARKING:14 CARSPLOT AREA: 07 KATHAHAND OVER: JUNE-2022 APARTMENT INSIDE ARRANGEMENT:DININGFAMILY LIVINGKITCHENA/C PROVISIONFRIDGE PROVISIONWASHING MACHINE PROVISIONPROVISION FOR GEYSER IN BATHROOMSGENERATOR CONNECTION AVAILABLECAR PARKING FOR SELECTIVE FLAT OTHER FEATURES:1.            SINGLE PASSENGER LIFT.2.            PROVISIONS FOR CABLE TV AND TELEPHONE CONNECTION.3.            27 UNITS EMERGENCY GENERATOR BACKUP.4.            SPACIOUS LOBBY.5.            DRIVERS WAITING SPACE WITH OTHER FACILITY.6.            FEW STEPS AWAY FROM AGARGAON MINISTRY ZONE.7.            GAS: IN SUBJECT TO GET PERMISSION8.            WELL DECORATE WAITING LOUNGE9.            AUTO STARTED GENERATOR10.          ROOFTOP COMMUNITY ROOM11.          GARDEN12.          INTERCOM13.          WELL VENTILATED FOR SUFFICIENT AIR FLOW14.          BANK LOAN FACILITIES15.          CALM & QUITE AREA16.          LESS TRAFFIC JAM17.          HIGH SECURITY18.          CONSTRUCTION FOLLOW BNBC RULES19.          ALL FACILITIES AVAILABLE IN MODERN LIVING20.          NEAREST AGARGAON BNP BAZAR & TALTOLA MARKET.21.         EARTHQUAKE RESISTANT STRUCTURE.**** No Media Please**** REHAB MEMBERSHIP NO- 675For More information visit our website:,Sale,Residential,7669400.0,https://www.estatemartbd.com/property/179/en/onward_arafat_1237_sqft_apartment_for_sale_at_west_kafrul,Dhaka,,,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
 Dhaka ,3.0,3.0,1560.0,"NAME: ONWARD JARBELLA
ADDRESS: 448/3, North Kazipara, Mirpur, Dhaka-1216FACING: NORTH (FRONT SIDE 20 FEET ROAD)HEIGHT: G+9UNIT: 5 UNITS PER FLOORPARKING: 25 CARSPLOT AREA: 12 KATHAHAND OVER: MAY-2023 APARTMENT INSIDE ARRANGEMENT:DININGFAMILY LIVINGKITCHENA/C PROVISIONFRIDGE PROVISIONWASHING MACHINE PROVISIONPROVISION FOR GEYSER IN BATHROOMSGENERATOR CONNECTION AVAILABLECAR PARKING FOR SELECTED FLAT               OTHER FEATURES:1.            DOUBLE PASSENGER’S LIFTS.2.            PROVISIONS FOR CABLE TV AND TELEPHONE CONNECTION.3.            45 UNITS EMERGENCY GENERATOR BACKUP.4.            SPACIOUS LOBBY.5.            DRIVERS WAITING SPACE WITH OTHER FACILITY.6.            FEW STEPS AWAY FROM KAZIPARA METRO RAIL STATION.7.            GAS: IN SUBJECT TO GET PERMISSION8.            WELL DECORATE WAITING LOUNGE9.            AUTO STARTED GENERATOR10.          ROOFTOP COMMUNITY ROOM11.          GARDEN12.          INTERCOM13.          WELL VENTILATED FOR SUFFICIENT AIR FLOW14.          BANK LOAN FACILITIES15.          CALM & QUITE AREA16.          LESS TRAFFIC JAM17.          HIGH SECURITY18.          CONSTRUCTION FOLLOW BNBC RULES19.          ALL FACILITIES AVAILABLE IN MODERN LIVING20.          NEAREST KAZIPARA BUS STAND.21.        EARTHQUAKE RESISTANT STRUCTURE.**** No Media Please**** REHAB MEMBERSHIP NO- 675 For More information visit our website:www.onwarddevelopers.com",Sale,Residential,9180000.0,https://www.estatemartbd.com/property/180/en/onward_jarbella_1560_sqft_apartment_for_sale_at_north_kazipara,Dhaka,,,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
 Dhaka ,3.0,3.0,1125.0,Further Details please callAssistant ManagerCell: 01611556613Scion Asset Developers Ltd,Sale,Residential,7450000.0,https://www.estatemartbd.com/property/162/en/scion_habib_villa_apartment_for_sale,Dhaka,,,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1366.0,"Project DetailsName: Onward HayatAddress: House#19, Road# 01, Block# A, Pallabi, Mirpur, Dhaka-1216.Facing: West (front Side 30 Feet Road)Height: G+9Unit: 2 Units per FloorParking: 12 CarsPlot Area: 05 KathaHand Over: December-2021Apartment Inside Arrangement:DiningFamily LivingKitchenA/c ProvisionFridge ProvisionWashing Machine ProvisionProvision for Geyser in BathroomsGenerator Connection AvailableCar Parking for Selected Flat               Other Features:1.            Single Passenger Lift.2.            Provisions for Cable Tv and Telephone Connection.3.            18 Units Emergency Generator Backup.4.            Spacious Lobby.5.            Drivers Waiting Space with Other Facility.6.            Few Steps Away from Pallabi Post Office.7.            Gas: In Subject to Get Permission8.            Well Decorate Waiting Lounge9.            Auto Started Generator10.          Rooftop Community Room11.          Garden12.          Intercom13.          Well Ventilated for Sufficient Air Flow14.          Bank Loan Facilities15.          Calm & Quite Area16.          Less Traffic Jam17.          High Security18.          Construction Follow Bnbc Rules19.          All Facilities Available in Modern Living20.          Nearest Main Road.21.          Earthquake Resistant Structure. Rehab Membership No- 675           ""no Media Please""For More Information Visit Our Website:Www.Onwarddevelopers.Com",Sale,Residential,8400000.0,https://www.estatemartbd.com/property/181/en/onward_hayat_1366_sqft_apartment_for_sale_at_pallabi_mirpur,Dhaka,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1480.0,"Project DetailsName: ONWARD PLEASANCEAddress: House# 305 A, 305 B, Road#07, Block# E, Bashundhara R/a, Dhaka.Facing: West (front Side 60 Feet Road)Height: B+g+9Unit: 3 Units per FloorParking: 27 CarsPlot Area: 10 Katha Apartment Inside Arrangement:Separate DiningFamily LivingKitchenA/c ProvisionFridge ProvisionWashing Machine ProvisionProvision for Geyser in BathroomsGenerator Connection AvailableCar Parking Unit for Each UnitHand Over: December-2023Safety & Security:1.            Earthquake Resistant Structure.2.            120’ × 24” Dia Cast-In-Situ R.C.C Pile Foundation.Other Features:1.            Double Passenger’s Lifts.2.            Provisions for Cable Tv and Telephone Connection.3.            27 Units Emergency Generator Backup.4.            Spacious Lobby and Driveway.5.            Drivers Waiting Space with Other Facility.6.            Few Steps Away from Apollo Hospital (evercare Hospital).7.            Gas: In Subject to Get Permission8.            Well Decorate Waiting Lounge9.            Auto Started Generator10.          Rooftop Community Room11.          Garden12.          Intercom13.          Well Ventilated for Sufficient Air Flow14.          Bank Loan Facilities15.          Calm & Quite Area16.          Less Traffic Jam17.          High Security18.          Construction Follow Bnbc Rules19.          All Facilities Available in Modern Living20.          Nearest Airport Rehab Membership No- 675 For More Information Visit Our Website:www.onwarddevelopers.com",Sale,Residential,12500000.0,https://www.estatemartbd.com/property/182/en/onward_pleasance_1480_sqft_lucrative_flat_sale_near_apollo_hospital_bashundhara_ra,Dhaka,,,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1568.0,"Project Details:Address: 48/1, Aga Sadek Road, Old Dhaka.Name: ONWARD TIVOLIFacing: North (Front Side 20 Feet Road)Height: B+G+9Unit: 4 Units per FloorParking: 35 CarsPlot Area: 12 KathaHand Over: December-2023 Apartment Inside Arrangement:Separate DiningFamily LivingKitchenA/c ProvisionFridge ProvisionWashing Machine ProvisionProvision for Geyser in BathroomsGenerator Connection AvailableCar Parking Unit for Each Unit               Other Features:1.            Double Passenger’s Lifts.2.            Provisions for Cable Tv and Telephone Connection.3.            36 Units Emergency Generator Backup.4.            Spacious Lobby and Driveway.5.            Drivers Waiting Space with Other Facility.6.            Few Steps Away from Bangladesh Field7.            Gas: In Subject to Get Permission8.            Well Decorate Waiting Lounge9.            Auto Started Generator10.          Rooftop Community Room11.          Garden12.          Intercom13.          Well Ventilated for Sufficient Air Flow14.          Bank Loan Facilities15.          Calm & Quite Area16.          Less Traffic Jam17.          High Security18.          Construction Follow Bnbc Rules19.          All Facilities Available in Modern Living20.    Earthquake Resistant Structure. Rehab Membership No- 675 For More information visit our website:www.onwarddevelopers.com",Sale,Residential,11600000.0,https://www.estatemartbd.com/property/183/en/onward_tivoli_1568_sqft_fascinating_flat_sale_at_aga_sadek_road_old_dhaka,Dhaka,,,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
 Dhaka ,4.0,6.0,2000.0,"Please Contact the number below for further information: Milton Khan01785497056 ফরিদপুর শহরের ""পূর্ব খাবাসপুর"" এলাকায় জমিসহ বাড়ি বিক্রয় করা হইবে। প্রকৃত ও আগ্রহী ক্রেতাগণ যোগাযোগ করুন ।",Sale,Residential,8500000.0,https://www.estatemartbd.com/property/101/en,Dhaka,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,3.0,3.0,1300.0,"Please Contact the number below for further information: Md Shakib01644403795 বিদুৎ, পানি, গ্যস সংযোগ আছে। গাড়ি রাখার জন্য গ্যরেজ আছে। আলাদা সার্ভিস চার্জ দিতে হবে। এবং পযাপ্ত আলো বাতাস আছে। বিদ্যুৎ, পানি এবং গ্যাস বিল ভাড়াটিয়া কর্তিক প্রযোজ্য।",Rent,Residential,42000.0,https://www.estatemartbd.com/property/105/en/1300_square_fit_flat_for_rent,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1702.0,Please Contact the number below for further information: Onward Developers Limited01963925371019639253740196392537501963925370 PROJECT DETAILSNAME: ONWARD TIVOLIFACING: NORTH (FRONT SIDE 20 FEET ROAD)HEIGHT: B+G+9UNIT: 4 UNITS PER FLOORPARKING: 35 CARSPLOT AREA: 12 KATHAHAND OVER: DECEMBER-2023 APARTMENT INSIDE ARRANGEMENT:SEPARATE DININGFAMILY LIVINGKITCHENA/C PROVISIONFRIDGE PROVISIONWASHING MACHINE PROVISIONPROVISION FOR GEYSER IN BATHROOMSGENERATOR CONNECTION AVAILABLECAR PARKING UNIT FOR EACH UNIT OTHER FEATURES:1. DOUBLE PASSENGER’S LIFTS.2. PROVISIONS FOR CABLE TV.3. 36 UNITS EMERGENCY GENERATOR BACKUP.4. SPACIOUS LOBBY AND DRIVEWAY.5. DRIVERS WAITING SPACE WITH OTHER FACILITY.6. FEW STEPS AWAY FROM BANGLADESH FIELD7. GAS: IN SUBJECT TO GET PERMISSION8. WELL DECORATE WAITING LOUNGE9. AUTO STARTED GENERATOR10. ROOFTOP COMMUNITY ROOM11. GARDEN12. INTERCOM13. WELL VENTILATED FOR SUFFICIENT AIR FLOW14. BANK LOAN FACILITIES15. CALM & QUITE AREA16. LESS TRAFFIC JAM17. HIGH SECURITY18. CONSTRUCTION FOLLOW BNBC RULES19. ALL FACILITIES AVAILABLE IN MODERN LIVING20. EARTHQUAKE RESISTANT STRUCTURE. REHAB MEMBERSHIP NO- 675,Sale,Residential,11914000.0,https://www.estatemartbd.com/property/104/en/1702_sft_new_luxurious_flat_for_sale_at_chawkbazar,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1842.0,Please Contact the number below for further information: Onward Developers Limited01963925370019639253740196392537501963925372 Project DetailsName: Onward TivoliFacing: North (front Side 20 Feet Road)Height: B+g+9Unit: 4 Units per FloorParking: 35 CarsPlot Area: 12 KathaHand Over: December-2023 Apartment Inside Arrangement:Separate DiningFamily LivingKitchenA/c ProvisionFridge ProvisionWashing Machine ProvisionProvision for Geyser in BathroomsGenerator Connection AvailableCar Parking Unit for Each Unit Other Features:1. Double Passenger’s Lifts.2. Provisions for Cable Tv and Telephone Connection.3. 36 Units Emergency Generator Backup.4. Spacious Lobby and Driveway.5. Drivers Waiting Space with Other Facility.6. Few Steps Away from Bangladesh Field7. Gas: In Subject to Get Permission8. Well Decorate Waiting Lounge9. Auto Started Generator10. Rooftop Community Room11. Garden12. Intercom13. Well Ventilated for Sufficient Air Flow14. Bank Loan Facilities15. Calm & Quite Area16. Less Traffic Jam17. High Security18. Construction Follow Bnbc Rules19. All Facilities Available in Modern Living20. Earthquake Resistant Structure. Rehab Membership No- 675,Sale,Residential,12894000.0,https://www.estatemartbd.com/property/106/en/lucrative_flat_sale_aga_sadek_road_old_dhaka,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,0.0,0.0,17280.0,"Please Contact the number below for further information.Zenith Builders01714118210 1⃣ প্লটের বর্ণনা :2⃣ ব্লক : এল 3⃣ রোড : ০০4⃣ প্লটের সিরিয়াল : ০০০০ ।5⃣ প্লটের সম্মুখ : কর্নার।6⃣ প্লটের আয়তন : ২৪ কাঠা।7⃣ সামনের রোড : ১৩০ ফিট।8⃣ সংযোজক রোড : ৩০০ এবং ১০০ ফিট।9⃣ প্রকল্পের নাম : বসুন্ধরা আবাসিক এলাকা।???? বর্তমান অবস্থা : বাড়ী করার জন্য ১০০% প্রস্তুত আছে।????️ কাগজপত্রের অবস্থা : সীমানা নির্ধারণ, রেজিস্ট্রিকরণ, নামজারি এবং যাবতীয় সকল কাগজপত্র হস্তান্তরের জন্য ১০০% প্রস্তুত আছে। ???? মূল্য : ১ কোটি ১৫ লক্ষ টাকা প্রতি কাঠা (আলোচনা সাপেক্ষ)।>>>( সকল খরচ সহ)<<< ???? সুযোগ-সুবিধা :???? সর্বোচ্চ নিরাপত্তা ব্যবস্থা , উন্নত বসবাসের সর্বোত্তম স্থান।???? বিদ্যুৎ ✔️ গ্যাস সংযোগ (অমীমাংসিত) ✔️ ওয়াসা (চলমান) ✔️ সুয়ারেজ-নর্দমা (চলমান) #⃣ আমাদের প্রতিশ্রুতি :???? গ্রাহককে নির্ভেজাল জমি দিয়ে সন্তুষ্ট করাই আমাদের প্রধান লক্ষ্য।???? আমরা কোন প্রকারের খাস জমি / সরকারি জমি / ভওয়াল জমি / ডিসপিউট দেয়া জমি বিক্রি করি না। ???????? আপনার বসুন্ধরার জমিটি বিক্রি করবেন ভাবছেন ?? আমাদের সাথে যোগাযোগ করুন। আামরা আপনার জমিটি ক্রয় করে নিবো অথবা অল্প সময়ে ভালো মূল্যে বিক্রি করে দিবো। ???????? ☎️ যেকোন প্রয়োজনে যোগাযোগ করুন :-???? Nahid Niazi (ধন্যবাদান্তে)✅???? @ZenithBuildersBD (ফেসবুক পেজ)???????? #ZenithBuilders (ইউটিউব), ইউটিউবে প্লটের ভিডিও দেখুন। ????⏪ ◼ অফিসের ঠিকানা :- জেনিথ বিল্ডার্স, এডেপ্ট এস.টি. কম্প্লেক্স, ক-৭/২, (লেভেল-৪), বসুন্ধরা প্রবেশ রোড, ঢাকা-১২২৯।",Sale,Residential,276000000.0,https://www.estatemartbd.com/property/59/en,Dhaka,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,3.0,3.0,1310.0,Please Contact the number below for further information.Onward Developers Limited01963925370019639253740196392537501963925371 PROJECT DETAILS:NAME: ONWARD JARBELLAFACING: NORTH (FRONT SIDE 20 FEET ROAD)HEIGHT: G+9UNIT: 5 UNITS PER FLOORPARKING: 25 CARSPLOT AREA: 12 KATHAHAND OVER: MAY-2023 APARTMENT INSIDE ARRANGEMENT:DININGFAMILY LIVINGKITCHENA/C PROVISIONFRIDGE PROVISIONWASHING MACHINE PROVISIONPROVISION FOR GEYSER IN BATHROOMSGENERATOR CONNECTION AVAILABLECAR PARKING FOR SELECTED FLAT OTHER FEATURES:1. DOUBLE PASSENGER’S LIFTS.2. PROVISIONS FOR CABLE TV.3. 45 UNITS EMERGENCY GENERATOR BACKUP.4. SPACIOUS LOBBY.5. DRIVERS WAITING SPACE WITH OTHER FACILITY.6. FEW STEPS AWAY FROM KAZIPARA METRO RAIL STATION.7. GAS: IN SUBJECT TO GET PERMISSION8. WELL DECORATE WAITING LOUNGE9. AUTO STARTED GENERATOR10. ROOFTOP COMMUNITY ROOM11. GARDEN12. INTERCOM13. WELL VENTILATED FOR SUFFICIENT AIR FLOW14. BANK LOAN FACILITIES15. CALM & QUITE AREA16. LESS TRAFFIC JAM17. HIGH SECURITY18. CONSTRUCTION FOLLOW BNBC RULES19. ALL FACILITIES AVAILABLE IN MODERN LIVING20. NEAREST KAZIPARA BUS STAND.21. EARTHQUAKE RESISTANT STRUCTURE. REHAB MEMBERSHIP NO- 67,Sale,Residential,7205000.0,https://www.estatemartbd.com/property/63/en/1310_sqft_flat_for_sale_near_kazipara_bus_stand,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1250.0,,Sale,Residential,4375000.0,https://www.estatemartbd.com/property/159/en/rpl_lr_tower_exclusive_flat_sale_at_arshi_nagar,Dhaka,,,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
 Dhaka ,4.0,4.0,2218.0,"Please Contact the number below for further information.bddl Properties Ltd.0175551102601755511015 Exclusive Apartment of bddl“ bddl Peace Park ”Address : House # 69/E , Road # 6/A,West Dhanmondi(Just opposite site of Eidgah Math / Anam Rangs Plaza / after 7 nos plot from Shatmosjid road)Building # G + 9.Building nos - 01 ( 2 Units Per floor.)Two lifts.Surrounding Of The Project: Famous School, College, Hospital, Bank, Brand Shop, Super Shop, Shopping Mall, Kacha Bazar and Mosjid.Crosse ventilation facilities.Silent residential area.Apartment Contains: 4 bedrooms, 4 bathrooms, 3 verandahs, living, F. living, dining, kitchen, modern fittings, intercom ,CC TV system etc.Total land area – 9.25 katha.Double height entry.Branded raw materials.Secure investment.Installment facilities.Very close from Dhanmondi Lake / Eidgah Math / Anam Rangs Plaza / Shatmosjid road. Rooftop Features: Sight-view seating Area, Green Terrace, BBQ Station, Community area for party arrangement & Cloth drier zone.Other Features: Car parking, Intercom, CCTV camera, fire extinguisher system, 24 hours security system, Guard room, driver’s waiting area with toilet and other all utility facilities available.Water, Electricity, Solar panel, Lift, Generator, community hall, prayer room sufficient void space and many more.We request you to visit our project first and then decide if you like or not. Please call, E-or text us for any kinds of Help & Information.Thanks Hasem Ali SardarSr. Manager (Mkt)Bddl Properties Ltd",Sale,Residential,30000000.0,https://www.estatemartbd.com/property/60/en/4_bed_bddl_exclusive_apartment_at_dhanmondi,Dhaka,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1409.0,"Please Contact the number below for further information.bddl Properties Ltd.0175551101501755511020 An exclusive mini Condominium apt. project of bddl properties ltd.bddl Heritage PalaceAddress : 151, West Dhanmondi, Dhaka ,( behind Star kabab at Shatmosjid road ) Building # G + 13.Unit Per floor- 05 nosLift # 3 nos3/4 Bed, 3/4-bath, 3-Ver , kitchen & diningTotal land area - 21 kathaParking: basement + ground floor.South east facingFour side sufficient open areaVery close from famous school, college, Mosjid, bazar & bus stand .Project Facilities: Double height entry Ladies & gents recreation corner, deep tub-well Elegance rooftop gardening and sitting arrangement, Large community hall , Indoor gaming zone, Water fountain, Swimming pool, Library, Playground, Prayer room, Wi-Fi zone, Kids zone, Gym, CCTV.Best Quality branded raw materials.Secure investmentFacilities: water, electricity, solar panel, lift, generator, community hall, prayer room 46% void space, (green zone) loan facility and many more.NOW IS THE BEST TIME TO INVEST IN REAL ESRATE• Due to worldwide economic trends, inflation is set to increase next year, according to ADB.• Real estate is less affected by inflation versus other investment, and offers maximum return.• Single digit interest rate for home loans and easy approval.• Trend of rising prices in the real estate market due to rising demand.We request you to visit our project first and then decide if you like or not. Please call, E-or text us for any kinds of Help & Information.Hasem ali sardarSr. Manager (Mkt) Head Office :bddl Properties Ltd.House-39/A, Road -27(Old) Dhanmondi,""Opposite Dhaka Bank"", Dhaka-1205",Sale,Residential,11976500.0,https://www.estatemartbd.com/property/61/en/3_bed_with_play_lot_swimming_pool_apartment_in_dhanmondi,Dhaka,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
