amenities,area,building_type,commercial_type,location,num_bath_rooms,num_bed_rooms,page,price,property_description,property_overview,property_url,purpose
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Fire Extinguisher,Generator,Intercom,Lift,Parking,Reception Desk & Lobby,Tiled Floor",1517 sft,Residential,,"Uttara, Dhaka",3,3,,12000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1517  area  it will definitely make home ownership a joyful experience for you. This 3  apartment are located in     . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1517-sft-apartment-for-sale-in-uttara-sector-10-2nd-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Tiled Floor",935 sft,Residential,,"Uttarkhan, Dhaka",2,2,,5700000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment is located in  . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/935-sft-apartment-for-sale-in-uttarkhan-2nd-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Intercom,Lift,Parking,Reception Desk & Lobby,Tiled Floor",1636 sft,Residential,,"Uttara, Dhaka",4,3,,14000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment are located in     . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1636-sft-apartment-for-sale-in-uttara-sector-4-1st-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Filtered Water,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",2520 sft,Residential,,"Banani, Dhaka",3,3,,43000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2520 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balconies apartment is located in Banani  Dhaka. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2520-sft-apartment-for-sale-in-banani-flat-a6/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Generator,Lift,Tiled Floor",1352 sft,Residential,,"Farmgate, Dhaka",3,3,,11000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1352 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balconies apartment is located on Indira Road  Farmgate. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1352-sft-apartment-for-sale-in-farmgate-5th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Generator,Lift,Parking,Tiled Floor",2833 sft,Residential,,"Baridhara, Dhaka",5,4,,23700000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2833 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  5 bathrooms and 3 balconies apartment is located in Baridhara DOHS. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the five modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2833-sft-apartment-for-sale-in-baridhara-dohs-1st-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",1050 sft,Residential,,"Banglamotor, Dhaka",1,2,,28000PerMonth,Looking for an exclusive home to live in? We have an exclusive apartment in the one of the most prominent locations in Dhaka  Banglamotor   the availability of all kinds of facilities is abundant. The 2 bedrooms and 1 bathrooms span over the 3000 sft apartment made for those who have a sophisticated taste. The location is perfect for relaxing in serenity. If you are looking for a flat for rent in Banglamotor  call us at 16604.,,https://btibrokeragebd.com/property/1050-sft-apartment-for-rent-in-banglamotor-6th-floor/,For Rent
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Generator,Lift,Parking,Tiled Floor",2120 sft,Residential,,"Bashundhara, Dhaka",4,3,,17200000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2120 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  4 Bathrooms and 4 balcony apartment is located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2120-sft-apartment-for-sale-in-bashundhara-7th-floor-2/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",1520 sft,Residential,,"Nakhalpara, Dhaka",3,3,,14000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1520 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedroom  3 Bathrooms  and 3 balconies apartment are located at West Nakhalpara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1520-sft-apartment-for-sale-in-west-nakhalpara-9th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Lift,Tiled Floor",1250 sft,Residential,,"Cantonment, Dhaka",3,3,,8500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1250 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balconies apartment is located in Cantonment. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1250-sft-apartment-for-sale-in-cantonment-flat-c-8/,For Sale
