Link,Title,Price,Property ID,Area,Floor,Bedrooms,Bathrooms,Description,Latitude,Longitude,Features,Location,Status,Garages,Type
https://www.pchoicebd.com/property/brand-new-full-furnished-flat-in-north-banani/,Brand new full furnished flat in North Banani,"TK  180,000",12368,2450SqFt,8Th Floor,3,3.0,"Exclusive Full Furnished apartment for rent at Banani North , Corner plot , 2450 sft, 4th & 8th floor, 3 bed, 4 bath Balcony, Drawing, Dining, space, family Living ,Two Lift , GYM , Car parking , Full Generator back up",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Driver Room', 'Emergency Exit', 'Fire Exit', 'Fire Hose', 'Gard Room', 'Generator', 'Geyser', 'GYM Room', 'Hot Water', 'Intercom', 'Lift', 'Marble Floors']",Banani,For Rent,2,Full Furnished
https://www.pchoicebd.com/property/luxurious-brand-new-commercial-space-for-rent-at-kakrail/,Luxurious brand new commercial space for rent at Kakrail,"TK  130,000",12354,2928SqFt,"15,16,17 Floor",3,3.0,"Luxurious brand new commercial space for rent at Kakrail Near by Dhaka Bank
Available 15,16,17 Floor 2928 sqf per Floor  two lift, full generator back up One car parking per floor",latitude_placeholder,longitude_placeholder,"['CCTV', 'Fire Exit', 'Gard Room', 'Generator', 'Lift', 'Security Guard', 'Single Unit', 'Tiled Floors']",Adabar,For Rent,1,Commercial Space
https://www.pchoicebd.com/property/exclusive-duplex-apartment-for-rent-in-nikunja-1/,Exclusive Duplex Apartment For Rent in Nikunja-1,"TK  150,000",12332,3400SqFt,"3rd Floor,4th Floor",4,4.0,"Exclusive Duplex Apartment  3rd & 4th floor, 3400 sqft with
4 Bed
4 Bath
Drawing
Dinning
Family Living
Kitchen, Servant Room with attached Bathroom
1 Car parking
1 Lift, Generator Back up
24-Hour Security Service & Cc Camera Monitoring System.",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Driver Room', 'Gard Room', 'Lift', 'Single Unit']",Nikunja 1,For Rent,1,Apartment for Office
https://www.pchoicebd.com/property/luxurious-brand-new-commercial-space-for-rent-at-gulshan-1/,Luxurious brand new commercial space for rent at Gulshan-1,Price on call,12281,"3100, 2980, 3850 sqf3100, 2980, 3850 sqf","3rd Floor, 7th Floor, 9th Floor",3,2.0,"Luxurious brand new commercial space for rent at Gulshan-1
Available 3rd Floor 3,850 sqf for Resturant. 7th floor 2,980 sqf 9th floor 3,100  two lift, full generator back up two car parking pur floor",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Commercial Permission', 'Concealed Phone', 'Driver Room', 'Emergency Exit', 'Fire Exit', 'Fire Hose', 'Fire Place', 'Gard Room', 'Generator', 'Lift', 'Marble Floors', 'Security Guard', 'Single Unit', 'Smoke Detector']",Gulshan 1,For Rent,2,Commercial Space
https://www.pchoicebd.com/property/luxurious-brand-new-residential-apartment-for-rent-2/,Brand new full furnished flat in North Banani,"TK  180,000",12254,2450SqFt,8 th,3,4.0,"Exclusive Full Furnished apartment for rent at Banani North , Corner plot , 2450 sft,  4th & 8th floor, 3 bed, 4 bath Balcony, Drawing, Dining, space, family Living ,Two Lift , GYM , Car parking , Full Generator back up.",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Community Room', 'Concealed Phone', 'Driver Room', 'Emergency Exit', 'Fire Exit', 'Fire Hose', 'Gard Room', 'Garden', 'Generator', 'Geyser', 'GYM Room', 'Hot Water', 'Intercom', 'Landscape Garden', 'Laundry Room', 'Lift', 'Marble Floors', 'Roof Top Garden', 'Security Guard', 'Tiled Floors', 'Washing Matchine', 'Wi-Fi connectivity']",Banani,For Rent,1,Residential Apartment
https://www.pchoicebd.com/property/luxurious-brand-new-residential-apartment-for-rent/,Luxurious Brand New Residential Apartment For Rent,"TK  350,000",12244,5000SqFt,"12 th ,13 th Floor",5,5.0,"Fully Furnished Residential Apartment
G.F + 9 Storied Building
4th Floor 2600 Sft
5 Bed
5 Bath
Drawing
Dining
Living
Kitchen & Servant Room with Toilet
2 Parking
2 Lift
Generator Back up
Cc Tv Monitoring System & 24/7  Security Services",latitude_placeholder,longitude_placeholder,"['Balcony', 'BBQ area', 'CCTV', 'Community Room', 'Concealed Phone', 'Driver Room', 'Dual Sinks', 'Emergency Exit', 'Fire Exit', 'Fire Hose', 'Gard Room', 'Generator', 'Geyser', 'GYM Room', 'Hot Water', 'Intercom', 'Lift', 'Marble Floors', 'Security Guard', 'Single Unit', 'Swimming Pool', 'Tiled Floors']",Gulshan 2,For Rent,2,Un furnished
https://www.pchoicebd.com/property/excellent-fully-furnished-apartment-for-rent-in-banani-2/,Excellent Fully Furnished Apartment for Rent in Banani,"TK  160,000 One Lac Sixty Thousand tk",12221,2500SqFt,3rd floor,3,3.0,"Exclusive Full Furnished Apartment with
3 Bed
3 Bath
Drawing
Dinning
Family Living
2 Car parking
Lift, Generator Backup
24 Hours Security Service & Cc Cameta Monitoring System.",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Concealed Phone', 'Driver Room', 'Dual Sinks', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Fire Hose', 'Floor Type', 'Gard Room', 'Garden', 'Generator', 'Geyser', 'Intercom', 'Landscape Garden', 'Lift', 'Security Guard', 'Tiled Floors']",Banani,For Rent,1,Residential Apartment
https://www.pchoicebd.com/property/exclusive-semi-furnished-apartment-for-rent-in-gulshan-2-north/,Exclusive Semi furnished Apartment for Rent in Gulshan 2 North,"TK  200,000 Two Lac",12203,3000SqFt,3rd floor,4,4.0,"Exclusive Semi furnished Apartment  3rd floor, 3000 sqft with
4 Bed
4 Bath
Drawing
Dinning
Family Living
Kitchen, Servant Room with attached Bathroom
2 Car parking
2 Lift, Generator Back up
24-Hour Security Service & Cc Camera Monitoring System.",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'CCTV', 'Driver Room', 'Dual Sinks', 'Floor Type', 'Lift', 'Security Guard', 'Tiled Floors']",Gulshan 2,For Rent,1,Residential Apartment
https://www.pchoicebd.com/property/excellent-fully-furnished-apartment-for-rent-in-banani/,Excellent Fully Furnished Apartment for Rent in Banani,"TK  110,000 One Lac Ten Thousand tk",12171,2300SqFt,5,3,3.0,"Exclusive fully furnished Apartment 5th floor, 2300 sqft with
3 Bed
3 Bath
Drawing
Dinning
Family Living
Kitchen, Servant Room with attached Bathroom
2 Car parking
Lift, Generator Back up
24-Hour Security Service & Cc Camera Monitoring System.",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'CCTV', 'Commercial Permission', 'Driver Room', 'Dual Sinks', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Fire Hose', 'Floor Type', 'Gard Room', 'Generator', 'Geyser', 'Intercom', 'Lift', 'Security Guard', 'Tiled Floors', 'Washing Matchine']",Banani,For Rent,1,Residential Apartment
https://www.pchoicebd.com/property/exclusive-independent-house-for-rent-in-gulshan-2/,Exclusive Independent House For Rent in Gulshan 2,"TK  450,000 Four Lac fifty thousand",12115,5800SqFt,"2,3",8,8.0,"Exclusive Independent House For Rent in Gulshan 2
3 Storide Building
5800 Sqft
8 Bed
8 Bath
Drawing
Dinning
Family Living
Kitchen
Servant Room with Toilet
3 Parking",latitude_placeholder,longitude_placeholder,"['Balcony', 'BBQ area', 'Child Playground', 'Dual Sinks', 'Emergency Exit', 'Floor Type', 'Gard Room', 'Garden', 'Landscape Garden', 'Roof Top Garden', 'Security Guard', 'Single Unit', 'Tiled Floors']",Gulshan 2,For Rent,1,Independent House-Villa
