Property_name,Property_Type,Bedrooms,bathrooms,Garages,Sq_Ft,year_built,AD URL,features
Triplex House in Bashundhara,House,5,5,3,6500,2019,https://bestbari.com/flat-sale-dhaka/triplex-house-in-bashundhara/,"Air Conditioning,Garden,Parking,Landscaping,Fire Fighting and Detection System,Rooftop Landscaping,Waiting Room,Children Play Area,Cloth Drying Area,Fire Protection,Prayer Space"
Concord Niharika,Commercial,,,3,1688-4460,,https://bestbari.com/flat-sale-dhaka/concord-niharika/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Fire Protection,Guard Accommodation,Reception,Lobby Lounge,High-speed internet"
NAVANA TERRARIUM,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-terrarium/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance"
CONCORD MK HERITAGE,Commercial,,,2,1130 – 3360 ,,https://bestbari.com/flat-sale-dhaka/concord-mk-heritage/,"Air Conditioning,Garage,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation,High-speed internet"
EDISON OPHELIA,Apartment,3,3,1,1860,2024,https://bestbari.com/flat-sale-dhaka/edison-ophelia/,"Air Conditioning,Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Prayer Space,Reception"
Signature11 ARC - Type B,Apartment,3,3,2,2336,2024,https://bestbari.com/flat-sale-dhaka/signature11-arc-type-b/,"Garage,Garden,Corner Plot,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Waiting Room,Waiting Lobby,Gym,BBQ Area,Security Room,Community Space,Driver Waiting,Fingerprint Access Handle Lock,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Lighting and Water Feature,Reception,Smart Home Feature,Lobby Lounge"
Signature11 ARC - Type A,Apartment,3,3,2,2318,2024,https://bestbari.com/flat-sale-dhaka/signature11-arc-type-a/,"Garage,Garden,Corner Plot,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Waiting Lobby,Gym,BBQ Area,Security Room,Community Space,Driver Waiting,Fingerprint Access Handle Lock,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Lighting and Water Feature,Prayer Space,Reception,Smart Home Feature,Lobby Lounge"
Rossella,Apartment,3,3,1,1025,2022,https://bestbari.com/flat-sale-dhaka/rossella/,"Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Guard Post,Prayer Space"
Ventura Milestone,,N/A,N/A,1,6000 SFT,2022,https://bestbari.com/flat-sale-dhaka/ventura-milestone/,"Air Conditioning,Garage,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Security Room,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
Apartment at Banani,Used Flat,4,5,2,2773,2014,https://bestbari.com/flat-sale-dhaka/apartment-at-banani/,"Garage,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Earthquake Resistance Design,Fire Protection,Guard Post,Prayer Space,Reception"
Budget Friendly Flat at Banani,Used Flat,3,3,1,1800,2018,https://bestbari.com/flat-sale-dhaka/budget-friendly-flat-at-banani/,"Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Guard Post,Reception"
Chandralok,Apartment,3,3,1,2200,2020,https://bestbari.com/flat-sale-dhaka/chandralok/,"Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Parking,Landscaping,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Exercise Studio,Security Room,Guard Post,Reception"
Apartment @ Mirpur DOHS,Apartment,3,3,1,2200,2017,https://bestbari.com/flat-sale-dhaka/apartment-mirpur-dohs/,"Parking,International Standard Lift,Generator Backup,Rooftop Landscaping,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Prayer Space,Reception"
The Landing 141,Apartment,4,4,2,3200,2022,https://bestbari.com/flat-sale-dhaka/the-landing-141/,"Full Load Power Backup,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Gym,Security Room,Fire Protection,Reception,Lobby Lounge"
The Izar,Apartment,3,3,1,2279,2021,https://bestbari.com/flat-sale-dhaka/the-izar/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Gym,Automated Watering System,Children Play Area,Fire Protection,Guard Post,Lighting and Water Feature,Reception,Lobby Lounge"
MB Tower,Apartment,3,3,1,1825,2022,https://bestbari.com/flat-sale-dhaka/mb-tower/,"Air Conditioning,Corner Plot,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Automated Watering System,Earthquake Resistance Design,Fire Protection,Fitness Center,Guard Post,Indoor Games,Reception,Smart Home Feature,Lobby Lounge"
Flat at Banani 11,Used Flat,4,4,2,3000,2014,https://bestbari.com/flat-sale-dhaka/flat-at-banani-11/,"Garage,Common Area,Parking,Security Surveillance System,International Standard Lift,Generator Backup,Fire Protection,Guard Post"
Gulzar-e-Rahmat,Apartment,4,4,1,2473,2022,https://bestbari.com/flat-sale-dhaka/gulzar-e-rahmat/,"Common Area,Parking,Security Surveillance System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Children Play Area,Cloth Drying Area,Fire Protection,Reception,Lobby Lounge"
Assure Surface,Apartment,3,3,1,1581,2020,https://bestbari.com/flat-sale-dhaka/assure-surface/,"Garage,Landscaping,International Standard Lift,Generator Backup,Cloth Drying Area,Community Space,Fire Protection,Guard Accommodation,Guard Post,Reception,Lobby Lounge"
Rainforest,Apartment,4,4,1,3462,2021,https://bestbari.com/flat-sale-dhaka/rainforest/,"Common Area,Parking,Landscaping,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Fire Protection,Guard Post,Reception,Lobby Lounge"
Mohi Chandrima,Apartment,3,4,1,2229,2021,https://bestbari.com/flat-sale-dhaka/mohi-chandrima/,"Garage,Garden,Common Area,International Standard Lift,Generator Backup,Waiting Room,Cloth Drying Area,Fire Protection,Guard Accommodation,Guard Post,Reception"
Neer,Apartment,3,3,1,2196,2019,https://bestbari.com/flat-sale-dhaka/neer/,"Garage,Garden,Full Load Power Backup,Interior Designed Lobbies,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Rooftop Landscaping,Waiting Room,Security Room,Community Space,Lighting and Water Feature,Reception,Lobby Lounge"
Majestic,Apartment,3,3,1,1994,2022,https://bestbari.com/flat-sale-dhaka/majestic/,"Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Borenno,Apartment,3,3,1,1272,2022,https://bestbari.com/flat-sale-dhaka/borenno/,"Garage,International Standard Lift,Generator Backup,Fire Protection,Reception,Lobby Lounge"
