added_on,address,area,details,fire_exit,generator,gym,last_updated,lift,offered_floor,parking,present_status,price,property_category,property_id,property_size,property_type,property_url,rent_or_sale,rooftop_garden,swimming_pool,title,total_bathrooms
"Thu, Apr 6, 2023 7:49 PM","CHETONA TOWER, 274/4, Mirpur 60 fit road.","Mirpur, Dhaka","Flat sale
Ready Flat 1000 / 1200 / 1400 Square Feet Flats for Sale in Mirpur 60 Feet Road Chetona Tower
(11 Floor Building)
Contact :- 01715029057 / 01764556295",,,,"Sun, Apr 9, 2023 5:12 AM",,5,,Vacant,1.00 BDT,Residential,864,1200,Apartment,https://propertyfinderbd.com/property-details/864,Sale,,,Ready Flat 1000 / 1200 / 1400 Square Feet Flats for Sale,3
"Sun, Apr 9, 2023 9:21 AM",Gulshan Avenue,"Gulshan Avenue, Dhaka","Gulshan avenue is the most expensive and sought-after commercial area in the heart of the capital city in Bangladesh. We are offering you a 2,500 sft floor on 5th floor of the most prestigious building in this area for rent at an affordable price. This building combines all modern amenities to run  a business establishment smoothly. There are two dedicated car parking in the basement, 100% backup generator CCTV surveillance with trained security guard to ensure 24/7 security. Please contact us today to schedule a viewing.",Yes,,,"Sun, Apr 9, 2023 9:21 AM",Yes,5,2 Slot,Vacant,160.00 BDT,Commercial,875,2500,Office Space,https://propertyfinderbd.com/property-details/875,Rent,Yes,,2500 sft office space for rent in Gulshan Avenue,
"Wed, Mar 22, 2023 8:42 AM","JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842",Yes,Full Backup,,"Sat, Mar 25, 2023 10:26 AM",Yes,4,1 Slot,Vacant,36000.00 BDT,Residential,821,375,Service Apartment,https://propertyfinderbd.com/property-details/821,Rent,,,Two Room Furnished Serviced Apartment RENT in Bashundhara R/A,1
"Mon, Mar 20, 2023 5:55 AM",Gulshan Avenue,"Gulshan Avenue, Dhaka","Fully furnished 7000 sft office available for rent on the Gulshan Avenue.  As you step inside the office space, you will be greeted by a modern and well-designed interior, complete with tasteful furnishings and décor. The office boasts ample natural light and is equipped with air conditioning to ensure a comfortable work environment for you and your team. This office is fully equipped with state-of-the-art facilities to meet your business needs. With a fire-fighting system in place, you can be assured that your safety and building also provides 24/7 security and surveillance. Additionally, you will have access to a 100% backup generator, ensuring that you never lose power during important work hours. With modern amenities, a fire-fighting system, 4 car parking spaces, and 100% backup generator facilities, you can focus on growing your business with ease.",Yes,Full Backup,,"Mon, Mar 20, 2023 5:55 AM",Yes,7,4 Slot,Vacant,1050000.00 BDT,Commercial,815,7000,Office,https://propertyfinderbd.com/property-details/815,Rent,Yes,,"Ready Fully furnished 7,000 sft office for rent in Gulshan Avenue",
"Wed, Apr 5, 2023 5:50 AM","Sardar Complex, 1 South komlapur. Motijheel, Dhaka","Motijheel, Dhaka",open space,,Full Backup,,"Sat, Apr 8, 2023 11:46 AM",,1,2 Slot,Vacant,500000.00 BDT,Commercial,856,9000,Factory Shade,https://propertyfinderbd.com/property-details/856,Rent,,,Office space for rent,10
"Sun, Apr 2, 2023 12:15 PM",Uttara Sector # 1,"Uttara, Dhaka","A fantastic opportunity has arisen to rent a stunning 25,000 sq. ft. commercial single floor located in the highly sought-after Uttara area of Dhaka. The building is constructed with 100% compliance to building regulations and offers a modern and professional setting suitable for corporate or multinational offices. The floor plan is designed to optimize the usage of space and offers ample natural light, providing a bright and airy environment for employees. The premises include 8 designated car parking spaces, ensuring easy and convenient access for staff and clients. With a prime location in Uttara, this commercial space is ideally situated for businesses looking to establish themselves in one of the city's most desirable areas. Don't miss out on this exceptional opportunity to secure a spacious, contemporary office space in a highly sought-after location.",Yes,Full Backup,Yes,"Sun, Apr 2, 2023 12:15 PM",Yes,,,Vacant,4000000.00 BDT,Commercial,844,25000,Office Space,https://propertyfinderbd.com/property-details/844,Rent,Yes,Yes,"Spacious 25,000 Sq. Ft. Commercial Single Floor for Rent in Uttara with 8 Car Parking - Ideal for Corporate or MNC Offices",10
"Thu, Mar 23, 2023 3:57 AM",Gulshan Avenue,"Gulshan, Dhaka","This is a unique opportunity to lease a 4600 sqft floor in the highly sought-after  IK Tower, located in the heart of Dhaka's bustling commercial district. The building is known for its state-of-the-art facilities and compliance with international standards, making it an ideal location for businesses looking to establish a professional and efficient office space. The floor features modern amenities, including high-speed elevators, 24/7 security, 100% backup generators, and 3 ample parking space. With its prime location and world-class facilities, this space is perfect for businesses of all sizes looking to elevate their operations in Dhaka. Don't miss out on this exceptional opportunity to lease a premium office space in one of the city's most prestigious buildings.",Yes,Full Backup,,"Thu, Mar 23, 2023 3:57 AM",Yes,3,,Vacant,160.00 BDT,Commercial,822,4600,Office,https://propertyfinderbd.com/property-details/822,Rent,Yes,,Spacious 4600 sqft Floor for Rent in Gulshan Avenue - The Most Compliant Office Building in Dhaka,4
"Sun, Apr 2, 2023 8:33 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Furnished 2BHK Serviced Apartment RENT In Bashundhara
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.hotels.com.bd/rental/apartment-two-bedroom
2. https://www.youtube.com/watch?v=xB_m6tVSiok

.
Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,Yes,"Sun, Apr 2, 2023 11:40 AM",Yes,4,1 Slot,Vacant,48000.00 BDT,Residential,843,800,Apartment,https://propertyfinderbd.com/property-details/843,Rent,Yes,Yes,Furnished 2BHK Serviced Apartment RENT In Bashundhara,2
"Sat, Mar 25, 2023 11:09 AM",Baridhara Diplomatic Zone,"Baridhara, Dhaka","This stunning semi-furnished flat is located on the 3rd floor of a prestigious building in Baridhara Diplomatic Zone, one of the most sought-after residential areas in Dhaka. The flat boasts a spacious 3000 sqft of living space, featuring 4 large bedrooms, 4 modern bathrooms, a well-appointed kitchen, and an expansive living and dining area. The flat is beautifully designed with high-quality finishes, elegant lighting fixtures, and marble flooring. The bedrooms are spacious and comfortable, each featuring large windows that let in natural light and offer stunning views of the surrounding area. The building offers a range of top-notch amenities, including 24-hour security, elevator access, and dedicated parking space etc.",Yes,Full Backup,,"Sat, Mar 25, 2023 11:09 AM",Yes,3,2 Slot,Vacant,170000.00 BDT,Residential,827,3200,Apartment,https://propertyfinderbd.com/property-details/827,Rent,Yes,,Luxurious 3000 sqft Semi-Furnished Flat for Rent in the Heart of Baridhara Diplomatic Zone,4
"Thu, Apr 6, 2023 7:52 PM","CHETONA TOWER, 274/4, Mirpur 60 fit road.","Mirpur, Dhaka","Restaurant to be Rented (Rooftop)
Mirpur 60 feet, 11th floor rooftop restaurant located on main road for rent in a pleasant environment Location: Chetona Tower Building,
60 Feet Road
(4000 Square Feet)
Contact :- 01715029057 / 01764556295",,,,"Sun, Apr 9, 2023 5:12 AM",,,,Vacant,1.00 BDT,Commercial,865,4000,Commercial Plot,https://propertyfinderbd.com/property-details/865,Rent,,,Restaurant to be Rented (Rooftop) 4000 Sqft,
"Thu, Apr 6, 2023 7:55 PM","Section 12 Main Road, Pallobi, Mirpur.","Mirpur, Dhaka","Commercial space for rent at Pallabi, Mirpur No. 12 Main Road.
5,400 Sqft commercial space for rent located at Section 12 Main Road, Pallobi, Mirpur.
Bank, Insurance, Showroom, Corporate Office, Chinese Restaurant, Education Center, Clinic, Diagnostic Center, Community Center, Supermarket, Medical Center and Textile Fashion House, suitable space for business.
Contact :- 01715029057 / 01764556295",,,,"Sun, Apr 9, 2023 5:12 AM",,,,Vacant,1.00 BDT,Commercial,866,5400,Commercial Building,https://propertyfinderbd.com/property-details/866,Rent,,,"Commercial space for rent at Pallabi, Mirpur No. 12 Main Road. 5,400 Sqft",
"Sat, Apr 8, 2023 5:52 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street. Bashundhara R/A","Bashundhara Residential Area, Dhaka","Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.


Facilities Available :
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track
> Daily Room & Bathroom Cleaning
> Multi-purpose Hall Room With Full AC
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement


Website: https://www.hotels.com.bd/two-room
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk


Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,Yes,"Sun, Apr 9, 2023 5:13 AM",Yes,4,1 Slot,Vacant,36000.00 BDT,Residential,868,375,Apartment,https://propertyfinderbd.com/property-details/868,Rent,Yes,Yes,One Bed bedroom furnished apartments for rent in Dhaka,1
"Thu, Mar 23, 2023 5:00 PM","Karnapara, Savar","Savar, Dhaka","Industrial land for sale in Savar, Karnapara on main road. 5-7 min walk from Bank town gate. Three storied building over the land per floor is 10000sqft. The size of the land is 5 bigha 8 shotongsho. 

Only who have real buyers please contact me.",,,,"Sat, Mar 25, 2023 10:24 AM",,3,,Vacant,430000000.00 BDT,Land,825,5,Industrial Plot,https://propertyfinderbd.com/property-details/825,Sale,,,Land for sale in Savar,
"Sun, Mar 19, 2023 10:02 AM","Kanchpur Bscic, Sonargoan, Narayangonj.","Sonargoan, Narayanganj, Dhaka","Fully hassel free property to rent. 40 kw Electricity line already taken. Fire license, shade planning, Trade license facility, 24x7 Security guard.
maintains all industrial aspects. PFI, DV box will be given. if needed compressor support will also given.",Yes,,,"Mon, Mar 20, 2023 3:19 AM",,1,2 Slot,Vacant,150000.00 BDT,Commercial,813,9000,Factory Shade,https://propertyfinderbd.com/property-details/813,Rent,,,9000 Square Feet Industrial Factory For Rent,2
"Thu, Mar 16, 2023 6:18 AM","Plot No: 996 & 997,Block# (A) Bashundhara Riverview, South Keraniganj,Dhaka-1311                   ,Dhaka-1311","Keraniganj, Dhaka","সম্পুর্ণ রেডি অবস্থায় এখনই বসবাস উপযোগী ২ দিকের রাস্তা সংযুক্ত কর্নার প্লটের উপর নির্মিত ২ টি রেডি ফ্ল্যাট বিক্রি হবে।

📔 ফ্ল্যাট সম্পর্কে বিস্তারিত তথ্য :

🟡 ফ্ল্যাটের আয়তন : ১২০০ বর্গফুট
🔴 ফেসিং : উত্তর পূর্ব ও উত্তর পশ্চিম 
🟢 বেডরুম : ৩ টি
🟣 বাথরুম : ২ টি
⚫ বারান্দা : ২ টি
🟤 ড্রইং কাম ডাইনিং : ১ টি
🔵 কিচেন : ১ টি

🟪 ফ্ল্যাটের সুবিধাসমূহ :

১.তিতাসের গ্যাস সংযোগ
২.২৪ ঘন্টা পানির ব্যবস্থা
৩.বিদ্যুৎ ব্যবস্থা ও সাবস্টেশন
৪.আধুনিক ও রুচিসম্মত টাইলস
৫.বাজারের সেরা মানের ফিটিংস 
৬.ইম্পোরটেড আধুনিক লিফট
৭.জেনারেটর এর ব্যবস্থা
৮.সার্বক্ষণিক নিরাপত্তা ব্যবস্থা
৯.পর্যাপ্ত ভয়েড স্পেস
১০.দুই পাশের ব্যবহার উপযোগি প্রসস্ত রাস্তা

🔻 জিরো পয়েন্ট থেকে মাত্র ১০ মিনিটের দূরত্ব এবং ঢাকার অদুরে আধুনিক ঢাকায় একটি ফ্ল্যাট কিনে আজই বসবাস করতে চাইলে আর দেরি না করে এখনই যোগাযোগ করুন।",,Full Backup,,"Sat, Mar 18, 2023 7:00 PM",Yes,9,,Vacant,4250000.00 BDT,Residential,808,1200,Ready Flat,https://propertyfinderbd.com/property-details/808,Sale,Yes,,1200 Sft Ready Flat For Sale @ Bashundhara Riverview,2
"Mon, Mar 20, 2023 4:11 AM","Ashulia, Savar.","Ashulia, Dhaka","20 bigha industrial plot is available for sale in Batala, Ashulia, Savar - a prime location for industrial development in Bangladesh. This spacious plot offers ample space for setting up factories, warehouses, and other industrial units. Located in a well-connected area with easy access to major highways and transport links, this industrial plot is ideal for businesses looking to establish themselves in an up-and-coming industrial zone. The land is flat and easily accessible, making it perfect for construction and development. Overall, this 20 bigha industrial plot in Gouripur, Batala, Ashulia, Savar is an excellent investment opportunity for businesses looking to expand their operations in a strategic location with ample space and excellent connectivity.",,No,,"Mon, Mar 20, 2023 4:11 AM",,1,,Vacant,600000000.00 BDT,Land,814,20,Industrial Plot,https://propertyfinderbd.com/property-details/814,Sale,,,"20 Bigha Industrial Land Sale In Ashulia, Savar.",
"Thu, Mar 16, 2023 6:25 AM","Plot No: 1746 & 1747,Block # (B) Bashundhara Riverview.Hasnabad,South Keraniganj,Dhaka-1311","Keraniganj, Dhaka","সুন্ধরা রিভারভিউ প্রকল্পে ""বি"" ব্লকে ২৫' ফিট রাস্তার পাশে ল্যান্ড শেয়ারের ভিত্তিতে ১৫৫০ (কম/বেশি) বর্গফুটের ফ্ল্যাটের মালিক হবার সুবিধা দিচ্ছে কোয়ালিটি বিল্ডার্স।
🖼️ প্লটের আয়তন : ৬ কাঠা (দক্ষিণ মুখী)
      প্লটের সামনের রাস্তা : ২৫ ফিট

🏢 ফ্ল্যাট এর বিবরন :
      বিল্ডিং সাইজ : বেইজমেন্ট + জি+ ৯ (১০ম তলা)
      ফ্ল্যাট এর আয়তন : ১৫৫০ (কম/বেশি) বর্গফুট 
      মোট ফ্ল্যাট সংখ্যা  : ১৮ টি (পার্কিং সহ)
      মোট শেয়ার সংখ্যা : ১৮ টি

🏫 প্রস্তাবিত ফ্ল্যাট এর সুবিধাসমূহ :
     🔴 বেডরুম : ৪ টি
     🟠 বাথরুম : ৪ টি
     🟢 বারান্দা : ৩ টি
     🟡 ড্রইং রুম : ১ টি
     🔵 ডাইনিং রুম : ১ টি
     🟤 কিচেন : ১ টি

🔺 প্রস্তাবিত ফ্ল্যাটটিতে থাকবে গ্যাস,বিদ্যুৎ,পানি,আধুনিক লিফট,জেনারেটর,সাবস্টেশন,নিরাপত্তা ব্যাবস্থা ও অনান্য সকল নাগরিক সুবিধা।
তাই আপনার আবাসন শেয়ারটি বুকিং দিতে আর দেরি না করে এখনি  যোগাযোগ করুন।",,Full Backup,,"Sat, Mar 18, 2023 6:59 PM",Yes,,20 Slot,Vacant,3500.00 BDT,Land,809,1550,Plot,https://propertyfinderbd.com/property-details/809,Sale,Yes,,Land Share Sale For 1550 Sft Apartment,4
